FII,HSRE11,Cotação,98.00,,,,
Nome,HSI RENDA IMOBILIÁRIA FUNDO DE INVESTIMENTO IMOBILIÁRIO,Data últ cot,06/12/2021,,,,
Mandato,Renda,Min 52 sem,81.88,,,,
Segmento,Híbrido,Max 52 sem,99.94,,,,
Gestão,Ativa,Vol $ méd (2m),2621540,,,,
Valor de mercado,834770000,Nro. Cotas,8518064,,,,
Relatório,29/10/2021,Últ Info Trimestral,30/09/2021,,,,
Oscilações,Oscilações,Indicadores,Indicadores,Indicadores,Indicadores,,
Dia,"0,00%",FFO Yield,"6,25%",FFO/Cota,6.12,,
Mês,"1,09%",Div. Yield,"5,8%",Dividendo/cota,5.75,,
30 dias,"-0,44%",P/VP,1.01,VP/Cota,97.24,,
12 meses,"19,68%",Resultado,Resultado,Resultado,Resultado,,
2021,"19,68%",Últimos 12 meses,Últimos 12 meses,Últimos 3 meses,Últimos 3 meses,,
2020,"0,00%",Receita,74872700,Receita,17304600,,
2019,"0,00%",Venda de ativos,0,Venda de ativos,0,,
2018,"0,00%",FFO,52150000,FFO,14781100,,
2017,"0,00%",Rend. Distribuído,48978900,Rend. Distribuído,14310300,,
2016,"0,00%",Balanço Patrimonial,Balanço Patrimonial,Balanço Patrimonial,Balanço Patrimonial,,
,,Ativos,834305000,Patrim Líquido,828328000,,
Composição dos Ativos,Composição dos Ativos,Composição dos Ativos,Composição dos Ativos,Composição dos Ativos,Composição dos Ativos,,
,,,,,,,
Imóveis,Imóveis,Imóveis,Imóveis,Imóveis,Imóveis,,
Qtd imóveis,27,Área (m2),100295,Cap Rate,"9,1%",,
Qtd Unidades,27,Aluguel/m2,743,Vacância Média,"0,0%",,
Imóveis/PL do FII,"97,9%",Preço do m2,8147,,,,
Pesquisar Documentos,Pesquisar Documentos,Pesquisar Documentos,Pesquisar Documentos,Pesquisar Documentos,Pesquisar Documentos,Pesquisar Documentos,Pesquisar Documentos
