,Empresas,Ativos,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6
47,Lojas Americanas,LAME4F,LAME4,LAME3F,LAME3,,
48,Hoteis Othon,HOOT4,,,,,
49,Gafisa,GFSA3,GFSA3F,,,,
50,YDUQS,YDUQ3,,,,,
51,Cyrela Realty,CYRE3,,,,,
52,CVC,CVCB3,,,,,
0,Privalia,PRVA3,,,,,
1,Walmart,WALM34F,WALM34,,,,
2,Starbucks,SBUB34F,,,,,
3,Procter Gamble,PGCO34F,,,,,
4,Pepsico Inc,PEPB34F,PEPB34,,,,
5,Colgate,COLG34F,COLG34,,,,
6,Coca-Cola,COCA34F,COCA34,,,,
7,Avon,AVON34F,AVON34,,,,
8,São Martinho,SMTO3F,SMTO3,,,,
9,MDiasBranco,MDIA3F,MDIA3,,,,
10,CAMIL,CAML3F,CAML3,,,,
11,Brasilagro,AGRO3F,AGRO3,,,,
12,Biosev,BSEV3F,BSEV3,,,,
13,Minerva,BEEF3F,BEEF3,BEEF11,,,
14,Vivara,VIVA3,,,,,
15,Carrefour,CRFB3F,CRFB3,,,,
16,Pão de Açúcar,PCAR3F,PCAR4F,PCAR3,,,
17,Natura,NTCO3F,NTCO3,,,,
18,Marfrig,MRFG3F,MRFG3,,,,
19,JBS,JBSS3F,JBSS3,,,,
20,Proctor Gamble,PGCO34,,,,,
21,BRF,BRFS3,,,,,
0,Iguatemi S.A.,IGTI11,IGTI3,,,,
1,XP Inc,XPBR31,,,,,
2,TradersClub,TRAD3,,,,,
3,BRB Banco,BSLI4F,BSLI3F,BSLI4,BSLI3,,
4,Battistella,BTTL3F,BTTL3,,,,
5,Banpara,BPAR3F,BPAR3,,,,
6,Wells Fargo,WFCO34F,WFCO34,,,,
7,Visa,VISA34F,VISA34,,,,
8,Morgan Stanley,MSBR34F,MSBR34,,,,
9,Mastercard,MSCD34F,MSCD34,,,,
10,JPMorgan,JPMC34F,JPMC34,,,,
