Papel,GGBR4,Cotação,28.95,,
Tipo,PN N1,Data últ cot,07/12/2021,,
Empresa,GERDAU S.A. PN N1,Min 52 sem,20.10,,
Setor,Siderurgia e Metalurgia,Max 52 sem,33.77,,
Subsetor,Siderurgia,Vol $ méd (2m),372056000,,
Valor de mercado,49784100000,Últ balanço processado,30/09/2021,,
Valor da firma,58474600000,Nro. Ações,1719660000,,
Oscilações,Oscilações,Indicadores fundamentalistas,Indicadores fundamentalistas,Indicadores fundamentalistas,Indicadores fundamentalistas
Dia,"1,58%",P/L,3.83,LPA,7.56
Mês,"12,21%",P/VP,1.21,VPA,23.89
30 dias,"26,30%",P/EBIT,3.05,Marg. Bruta,"26,0%"
12 meses,"40,09%",PSR,0.71,Marg. EBIT,"23,2%"
2021,"32,53%",P/Ativos,0.66,Marg. Líquida,"18,5%"
2020,"23,86%",P/Cap. Giro,2.23,EBIT / Ativo,"21,7%"
2019,"37,65%",P/Ativ Circ Liq,35.74,ROIC,"27,4%"
2018,"22,31%",Div. Yield,"11,2%",ROE,"31,6%"
2017,"15,23%",EV / EBITDA,3.10,Liquidez Corr,2.70
2016,"138,65%",EV / EBIT,3.58,Div Br/ Patrim,0.42
,,Cres. Rec (5a),"13,1%",Giro Ativos,0.93
Dados Balanço Patrimonial,Dados Balanço Patrimonial,Dados Balanço Patrimonial,Dados Balanço Patrimonial,,
Ativo,75362200000,Dív. Bruta,17121100000,,
Disponibilidades,8430580000,Dív. Líquida,8690470000,,
Ativo Circulante,35456800000,Patrim. Líq,41083000000,,
Dados demonstrativos de resultados,Dados demonstrativos de resultados,Dados demonstrativos de resultados,Dados demonstrativos de resultados,,
Últimos 12 meses,Últimos 12 meses,Últimos 3 meses,Últimos 3 meses,,
Receita Líquida,70410300000,Receita Líquida,21317100000,,
EBIT,16333800000,EBIT,5891680000,,
Lucro Líquido,12994000000,Lucro Líquido,5577820000,,
