Papel,SEER3,Cotação,11.05,,
Tipo,ON NM,Data últ cot,06/12/2021,,
Empresa,SER EDUCA ON NM,Min 52 sem,9.99,,
Setor,Diversos,Max 52 sem,18.96,,
Subsetor,Serviços Educacionais,Vol $ méd (2m),11925000,,
Valor de mercado,1422380000,Últ balanço processado,30/09/2021,,
Valor da firma,1502560000,Nro. Ações,128722000,,
Oscilações,Oscilações,Indicadores fundamentalistas,Indicadores fundamentalistas,Indicadores fundamentalistas,Indicadores fundamentalistas
Dia,"1,28%",P/L,8.34,LPA,1.32
Mês,"6,87%",P/VP,0.97,VPA,11.34
30 dias,"3,24%",P/EBIT,7.45,Marg. Bruta,"53,7%"
12 meses,"-24,05%",PSR,1.06,Marg. EBIT,"14,2%"
2021,"-27,44%",P/Ativos,0.45,Marg. Líquida,"12,7%"
2020,"-42,60%",P/Cap. Giro,5.62,EBIT / Ativo,"6,0%"
2019,"98,36%",P/Ativ Circ Liq,-1.56,ROIC,"7,0%"
2018,"-48,98%",Div. Yield,"3,0%",ROE,"11,7%"
2017,"71,05%",EV / EBITDA,4.05,Liquidez Corr,1.46
2016,"152,05%",EV / EBIT,7.87,Div Br/ Patrim,0.33
,,Cres. Rec (5a),"2,4%",Giro Ativos,0.42
Dados Balanço Patrimonial,Dados Balanço Patrimonial,Dados Balanço Patrimonial,Dados Balanço Patrimonial,,
Ativo,3174690000,Dív. Bruta,487548000,,
Disponibilidades,407366000,Dív. Líquida,80182000,,
Ativo Circulante,800559000,Patrim. Líq,1459580000,,
Dados demonstrativos de resultados,Dados demonstrativos de resultados,Dados demonstrativos de resultados,Dados demonstrativos de resultados,,
Últimos 12 meses,Últimos 12 meses,Últimos 3 meses,Últimos 3 meses,,
Receita Líquida,1345920000,Receita Líquida,324083000,,
EBIT,190975000,EBIT,39872000,,
Lucro Líquido,170519000,Lucro Líquido,-6777000,,
