Date,Dividends,Stock Splits
2004-03-22,0.0,0.0001
2004-12-14,0.0,2.0
2005-11-23,0.0,2.0
2007-03-26,0.0,2.0
2008-01-03,0.001935,0.0
2008-02-06,0.001935,0.0
2008-03-04,0.001935,0.0
2008-04-02,0.00129,0.0
2008-04-07,0.0,1.5
2008-05-05,0.003871,0.0
2008-06-30,0.038708,0.0
2008-07-02,0.003871,0.0
2008-08-04,0.003871,0.0
2008-09-02,0.003871,0.0
2008-10-02,0.003871,0.0
2009-02-03,0.042577,0.0
2009-03-03,0.004258,0.0
2009-05-05,0.004258,0.0
2009-06-02,0.004258,0.0
2009-07-02,0.004258,0.0
2009-07-06,0.042577,0.0
2009-08-04,0.004258,0.0
2009-09-02,0.004258,0.0
2009-10-02,0.004258,0.0
2009-11-04,0.004258,0.0
2009-12-02,0.004683,0.0
2009-12-07,0.136819,0.0
2010-01-05,0.004258,0.0
2010-01-20,0.0,1.1
2010-02-02,0.004684,0.0
2010-02-11,0.007596,0.0
2010-03-02,0.004684,0.0
2010-04-05,0.004684,0.0
2010-05-04,0.004684,0.0
2010-06-02,0.004684,0.0
2010-06-29,0.046834,0.0
2010-07-02,0.004684,0.0
2010-07-14,0.0,1.0
2010-08-03,0.005152,0.0
2010-09-02,0.005152,0.0
2010-10-04,0.005152,0.0
2010-11-03,0.005152,0.0
2010-12-02,0.005152,0.0
2010-12-07,0.159823,0.0
2011-01-04,0.005155,0.0
2011-02-02,0.005155,0.0
2011-02-14,0.031111,0.0
2011-03-02,0.005155,0.0
2011-04-04,0.005155,0.0
2011-05-03,0.005155,0.0
2011-06-02,0.005155,0.0
2011-06-28,0.060654,0.0
2011-07-04,0.005155,0.0
2011-08-02,0.005155,0.0
2011-09-02,0.005671,0.0
2011-10-04,0.005671,0.0
2011-11-03,0.005671,0.0
2011-12-02,0.005671,0.0
2011-12-13,0.224723,0.0
2012-01-03,0.005671,0.0
2012-02-02,0.005671,0.0
2012-03-02,0.005671,0.0
2012-04-03,0.006238,0.0
2012-05-03,0.006238,0.0
2012-06-04,0.006238,0.0
2012-06-28,0.062384,0.0
2012-07-03,0.073393,0.0
2012-08-02,0.006238,0.0
2012-09-04,0.006238,0.0
2012-10-02,0.007339,0.0
2012-11-05,0.006238,0.0
2012-12-04,0.006238,0.0
2012-12-26,0.1999,0.0
2013-01-03,0.006238,0.0
2013-02-06,0.02593,0.0
2013-03-04,0.007339,0.0
