FII,DEVA11,Cotação,99.99,,,,
Nome,DEVANT RECEBÍVEIS IMOBILIÁRIOS FUNDO DE INVESTIMENTO IMOBILIÁRIO,Data últ cot,06/12/2021,,,,
Mandato,Títulos e Valores Mobiliários,Min 52 sem,82.18,,,,
Segmento,Títulos e Val. Mob.,Max 52 sem,107.81,,,,
Gestão,Ativa,Vol $ méd (2m),7016590,,,,
Valor de mercado,1094600000,Nro. Cotas,10947069,,,,
Relatório,29/10/2021,Últ Info Trimestral,30/09/2021,,,,
Oscilações,Oscilações,Indicadores,Indicadores,Indicadores,Indicadores,,
Dia,"0,33%",FFO Yield,"5,67%",FFO/Cota,5.67,,
Mês,"1,82%",Div. Yield,"17,3%",Dividendo/cota,12.76,,
30 dias,"-2,45%",P/VP,1.04,VP/Cota,95.80,,
12 meses,"16,78%",Resultado,Resultado,Resultado,Resultado,,
2021,"18,59%",Últimos 12 meses,Últimos 12 meses,Últimos 3 meses,Últimos 3 meses,,
2020,"10,97%",Receita,44170200,Receita,19359300,,
2019,"0,00%",Venda de ativos,2722800,Venda de ativos,1133470,,
2018,"0,00%",FFO,62038300,FFO,12505700,,
2017,"0,00%",Rend. Distribuído,139714000,Rend. Distribuído,45758700,,
2016,"0,00%",Balanço Patrimonial,Balanço Patrimonial,Balanço Patrimonial,Balanço Patrimonial,,
,,Ativos,1259030000,Patrim Líquido,1048680000,,
Composição dos Ativos,Composição dos Ativos,Composição dos Ativos,Composição dos Ativos,Composição dos Ativos,Composição dos Ativos,,
,,,,,,,
Imóveis,Imóveis,Imóveis,Imóveis,Imóveis,Imóveis,,
Qtd imóveis,0,Área (m2),0,Cap Rate,-,,
Qtd Unidades,0,Aluguel/m2,-,Vacância Média,-,,
Imóveis/PL do FII,"0,0%",Preço do m2,-,,,,
Pesquisar Documentos,Pesquisar Documentos,Pesquisar Documentos,Pesquisar Documentos,Pesquisar Documentos,Pesquisar Documentos,Pesquisar Documentos,Pesquisar Documentos
