Papel,MERC4,Cotação,10.58,,
Tipo,PN,Data últ cot,03/12/2021,,
Empresa,MERCANTIL BRASIL PN,Min 52 sem,10.01,,
Setor,Intermediários Financeiros,Max 52 sem,13.64,,
Subsetor,Soc. Crédito e Financiamento,Vol $ méd (2m),1083,,
Valor de mercado,190546000,Últ balanço processado,30/09/2021,,
Valor da firma,-,Nro. Ações,18010000,,
Oscilações,Oscilações,Indicadores fundamentalistas,Indicadores fundamentalistas,Indicadores fundamentalistas,Indicadores fundamentalistas
Dia,"0,00%",P/L,67.79,LPA,0.16
Mês,"5,69%",P/VP,0.77,VPA,13.76
30 dias,"1,73%",P/EBIT,-,Marg. Bruta,-
12 meses,"-2,09%",PSR,-,Marg. EBIT,-
2021,"-3,04%",P/Ativos,-,Marg. Líquida,"0,0%"
2020,"-15,18%",P/Cap. Giro,-,EBIT / Ativo,"0,0%"
2019,"107,16%",P/Ativ Circ Liq,-,ROIC,-
2018,"24,26%",Div. Yield,"4,9%",ROE,"1,1%"
2017,"5,68%",EV / EBITDA,-,Liquidez Corr,-
2016,"-21,26%",EV / EBIT,-,Div Br/ Patrim,-
,,Cres. Rec (5a),"-36,1%",Giro Ativos,-
Dados Balanço Patrimonial,Dados Balanço Patrimonial,Dados Balanço Patrimonial,Dados Balanço Patrimonial,,
Ativo,326138000,Depósitos,44364000,,
Cart. de Crédito,221694000,Patrim. Líq,247902000,,
Dados demonstrativos de resultados,Dados demonstrativos de resultados,Dados demonstrativos de resultados,Dados demonstrativos de resultados,,
Últimos 12 meses,Últimos 12 meses,Últimos 3 meses,Últimos 3 meses,,
Result Int Financ,38940000,Result Int Financ,9520000,,
Rec Serviços,5000,Rec Serviços,2000,,
Lucro Líquido,2811000,Lucro Líquido,-228000,,
