,2021-09-30,2021-06-30,2021-03-31,2020-12-31
Intangible Assets,5044801000.0,4764924000.0,4977800000.0,6220666000.0
Total Liab,1827894949000.0,1714147438000.0,1691008480000.0,1598700779000.0
Total Stockholder Equity,144554003000.0,143243032000.0,135457197000.0,124567652000.0
Minority Interest,2957922000.0,2564049000.0,2738063000.0,2403457000.0
Other Current Liab,65820815000.0,59889774000.0,57189753000.0,54106525000.0
Total Assets,1975406874000.0,1859954519000.0,1829203740000.0,1725671888000.0
Common Stock,90000023000.0,90000023000.0,90000023000.0,90000023000.0
Other Current Assets,154722616000.0,150046281000.0,143879703000.0,136953053000.0
Retained Earnings,48730716000.0,45814896000.0,41782800000.0,39198468000.0
Other Liab,143205159000.0,132372804000.0,131929679000.0,130588038000.0
Treasury Stock,5823264000.0,7428113000.0,3674374000.0,-4630839000.0
Other Assets,801424482000.0,767402041000.0,746711280000.0,714868331000.0
Cash,50200020000.0,55538145000.0,59372218000.0,176189508000.0
Total Current Liabilities,1514572502000.0,1420345770000.0,1380278073000.0,1278059280000.0
Deferred Long Term Asset Charges,58267225000.0,59814017000.0,57657107000.0,58142575000.0
Short Long Term Debt,759231794000.0,668955346000.0,666068334000.0,588046917000.0
Other Stockholder Equity,6100177000.0,7705026000.0,3951977000.0,-4350197000.0
Property Plant Equipment,7987716000.0,7921996000.0,7999314000.0,8230854000.0
Total Current Assets,237440556000.0,244001613000.0,239115351000.0,348475457000.0
Long Term Investments,923509319000.0,835863945000.0,830399995000.0,647876580000.0
Net Tangible Assets,139509202000.0,138478108000.0,130479397000.0,118346986000.0
Short Term Investments,7039186000.0,12944302000.0,7689450000.0,731558000.0
Net Receivables,12510194000.0,12084779000.0,13187168000.0,13366895000.0
Long Term Debt,170117288000.0,161428864000.0,178800728000.0,190053461000.0
Accounts Payable,689519893000.0,691500650000.0,655134208000.0,633419639000.0
