,2021-09-30,2021-06-30,2021-03-31,2020-12-31
Change To Liabilities,-31381000.0,28289000.0,-28901000.0,77343000.0
Total Cashflows From Investing Activities,-86722000.0,-75845000.0,-20444000.0,-162966000.0
Net Borrowings,3603686000.0,2978220000.0,-101724000.0,412220000.0
Total Cash From Financing Activities,2284667000.0,383066000.0,-1563744000.0,-1894145000.0
Change To Operating Activities,-4015505000.0,-2347272000.0,-134273000.0,395646000.0
Net Income,1176129000.0,1193336000.0,1256038000.0,1097380000.0
Change In Cash,194246000.0,-313692000.0,123820000.0,47064000.0
Total Cash From Operating Activities,-2003699000.0,-620913000.0,1708008000.0,2104175000.0
Depreciation,26368000.0,27043000.0,28023000.0,22510000.0
Other Cashflows From Investing Activities,2189000.0,5173000.0,40356000.0,-14479000.0
Dividends Paid,-1302696000.0,-2219257000.0,-1095235000.0,-1626492000.0
Change To Account Receivables,22777000.0,-28249000.0,49375000.0,-68551000.0
Other Cashflows From Financing Activities,-16323000.0,-8678000.0,-4561000.0,-228950000.0
Change To Netincome,202461000.0,106963000.0,117704000.0,-389256000.0
Capital Expenditures,-46810000.0,-32179000.0,-20190000.0,-93475000.0
Repurchase Of Stock,,-367219000.0,-362224000.0,-450923000.0
