Date,Dividends,Stock Splits
2008-08-26,0.024332,0.0
2009-01-02,0.023102,0.0
2009-05-04,0.020682,0.0
2009-05-18,0.018644,0.0
2009-08-17,0.020019,0.0
2009-11-13,0.024963,0.0
2009-12-23,0.002827,0.0
2010-03-01,0.004236,0.0
2010-03-31,0.008469,0.0
2010-05-03,0.041201,0.0
2010-05-13,0.019332,0.0
2010-08-24,0.039339,0.0
2010-11-12,0.0397,0.0
2010-12-22,0.004578,0.0
2011-02-22,0.007212,0.0
2011-05-03,0.068908,0.0
2011-06-22,0.017043,0.0
2011-08-29,0.04058,0.0
2011-11-18,0.04038,0.0
2012-03-30,0.03914,0.0
2012-05-15,0.03872,0.0
2012-08-10,0.041459,0.0
2012-11-22,0.015535,0.0
2013-04-18,0.067079,0.0
2013-05-21,0.084694,0.0
2013-05-22,0.008623,0.0
2013-08-22,0.048981,0.0
2013-11-12,0.039447,0.0
2014-05-20,0.037179,0.0
2014-06-13,0.026158,0.0
2014-08-12,0.03646,0.0
2014-11-18,0.034938,0.0
2015-04-16,0.034388,0.0
2015-05-19,0.04137,0.0
2015-08-24,0.047583,0.0
2015-11-24,0.058852,0.0
2015-12-14,0.084171,0.0
2016-05-24,0.031658,0.0
2016-08-23,0.040206,0.0
2016-11-22,0.027363,0.0
2016-12-22,0.06863,0.0
2017-05-23,0.022958,0.0
2017-08-22,0.013341,0.0
2017-11-22,0.027486,0.0
2017-12-22,0.087127,0.0
2018-04-24,0.032643,0.0
2018-06-28,0.073716,0.0
2018-09-24,0.058709,0.0
2018-12-26,0.068975,0.0
2019-03-27,0.064317,0.0
2019-06-26,0.06349,0.0
2019-07-05,0.034401,0.0
2019-09-25,0.10587,0.0
2020-01-02,0.117948,0.0
2020-03-26,0.106022,0.0
2020-07-01,0.048932,0.0
2020-09-25,0.265538,0.0
2021-01-04,0.1858,0.0
2021-03-25,0.195242,0.0
2021-03-29,0.038161,0.0
2021-05-06,0.0,3.0
2021-05-17,0.0,3.0
2021-06-30,0.214651,0.0
2021-09-29,0.19461,0.0
