,2021-09-30,2021-06-30,2021-03-31,2020-12-31
Intangible Assets,2679553000.0,2886339000.0,3077610000.0,3275553000.0
Capital Surplus,8327143000.0,,,
Total Liab,32215748000.0,26826709000.0,21836925000.0,21811359000.0
Total Stockholder Equity,22580298000.0,22692664000.0,24345808000.0,24509951000.0
Minority Interest,11405000.0,11437000.0,11462000.0,11473000.0
Other Current Liab,11356437000.0,9937040000.0,8443656000.0,8192602000.0
Total Assets,54807451000.0,49530810000.0,46194195000.0,46332783000.0
Common Stock,12548655000.0,12548655000.0,12548655000.0,12548655000.0
Other Current Assets,896416000.0,795531000.0,533001000.0,457645000.0
Retained Earnings,2645244000.0,2650609000.0,3918959000.0,3684250000.0
Other Liab,5673640000.0,5568077000.0,5281472000.0,5152909000.0
Good Will,22408527000.0,22408527000.0,22408527000.0,22408527000.0
Treasury Stock,-940744000.0,7493400000.0,7878194000.0,8277046000.0
Other Assets,302207000.0,303473000.0,304392000.0,304975000.0
Cash,3777045000.0,2065184000.0,1536454000.0,1438420000.0
Total Current Liabilities,15654356000.0,12507996000.0,9503959000.0,9678085000.0
Short Long Term Debt,3063449000.0,1307141000.0,37809000.0,79401000.0
Other Stockholder Equity,-135699000.0,8298618000.0,8339018000.0,9193678000.0
Property Plant Equipment,834221000.0,811687000.0,802358000.0,808894000.0
Total Current Assets,25600841000.0,19873683000.0,16882731000.0,17101290000.0
Long Term Investments,2982102000.0,3247101000.0,2718577000.0,2433544000.0
Net Tangible Assets,-2507782000.0,-2602202000.0,-1140329000.0,-1174129000.0
Short Term Investments,20192842000.0,16265035000.0,14089062000.0,14003987000.0
Net Receivables,596525000.0,618566000.0,610191000.0,1080943000.0
Long Term Debt,10887752000.0,8750636000.0,7051494000.0,6975012000.0
Accounts Payable,168458000.0,191909000.0,154749000.0,220528000.0
