,2018-03-31,2017-12-31,2017-09-30,2017-06-30
Intangible Assets,178156000.0,169482000.0,180209000.0,180687000.0
Total Liab,127465177000.0,107935513000.0,94960095000.0,100896012000.0
Total Stockholder Equity,18702491000.0,18527813000.0,18609296000.0,18079307000.0
Minority Interest,166391000.0,128286000.0,140439000.0,137919000.0
Other Current Liab,18743758000.0,17594775000.0,14266434000.0,16349935000.0
Total Assets,146334059000.0,126591612000.0,113709830000.0,119113238000.0
Common Stock,7392092000.0,7392092000.0,7220526000.0,7220526000.0
Other Current Assets,17047792000.0,8227090000.0,12301268000.0,11752910000.0
Retained Earnings,10549932000.0,10461277000.0,10517216000.0,10284545000.0
Other Liab,6027100000.0,6122481000.0,5727738000.0,5491186000.0
Good Will,28105000.0,36351000.0,51077000.0,113379000.0
Treasury Stock,760467000.0,674444000.0,871554000.0,574236000.0
Other Assets,24102787000.0,26281980000.0,19257005000.0,19964495000.0
Cash,35116227000.0,23201005000.0,22883548000.0,26663176000.0
Total Current Liabilities,94653708000.0,78113316000.0,67476556000.0,73554038000.0
Short Long Term Debt,80229084000.0,72432010000.0,63828562000.0,70163622000.0
Other Stockholder Equity,891413000.0,767507000.0,871554000.0,660791000.0
Property Plant Equipment,81917000.0,82762000.0,79897000.0,88601000.0
Total Current Assets,100750928000.0,67534314000.0,70381854000.0,72725746000.0
Long Term Investments,21192166000.0,32486723000.0,23759788000.0,26040330000.0
Net Tangible Assets,18496230000.0,18321980000.0,18378010000.0,17785241000.0
Short Term Investments,10952542000.0,10401373000.0,8779961000.0,9175124000.0
Net Receivables,8543869000.0,13080281000.0,14005051000.0,12811156000.0
Long Term Debt,26784369000.0,23699716000.0,21755801000.0,21850788000.0
Accounts Payable,19043356000.0,9178313000.0,8322736000.0,8537174000.0
