,2018-03-31,2017-12-31,2017-09-30,2017-06-30
Research Development,,,,
Effect Of Accounting Charges,,,,
Income Before Tax,759136000.0,571934000.0,-729035000.0,253635000.0
Minority Interest,166391000.0,128286000.0,140439000.0,137919000.0
Net Income,600358000.0,660379000.0,500859000.0,502558000.0
Selling General Administrative,594461000.0,634886000.0,664731000.0,507872000.0
Gross Profit,1481313000.0,1366149000.0,1670070000.0,765806000.0
Ebit,0.0,0.0,0.0,0.0
Operating Income,760704000.0,534898000.0,-775577000.0,155117000.0
Other Operating Expenses,126148000.0,196365000.0,1780916000.0,102817000.0
Interest Expense,,,,
Extraordinary Items,,,,
Non Recurring,,,,
Other Items,,,,
Income Tax Expense,155773000.0,-86551000.0,-1230699000.0,-246496000.0
Total Revenue,1481313000.0,1366149000.0,1670070000.0,765806000.0
Total Operating Expenses,720609000.0,831251000.0,2445647000.0,610689000.0
Cost Of Revenue,0.0,0.0,0.0,0.0
Total Other Income Expense Net,-1568000.0,37036000.0,46542000.0,98518000.0
Discontinued Operations,,,,
Net Income From Continuing Ops,603363000.0,658485000.0,501664000.0,500131000.0
Net Income Applicable To Common Shares,600358000.0,660379000.0,500859000.0,502558000.0
