Papel,CLSC4,Cotação,75.40,,
Tipo,PN N2,Data últ cot,06/12/2021,,
Empresa,CELESC PN N2,Min 52 sem,45.88,,
Setor,Energia Elétrica,Max 52 sem,78.26,,
Subsetor,Energia Elétrica,Vol $ méd (2m),446019,,
Valor de mercado,2908330000,Últ balanço processado,30/09/2021,,
Valor da firma,3989610000,Nro. Ações,38572000,,
Oscilações,Oscilações,Indicadores fundamentalistas,Indicadores fundamentalistas,Indicadores fundamentalistas,Indicadores fundamentalistas
Dia,"1,22%",P/L,3.20,LPA,23.53
Mês,"8,88%",P/VP,1.18,VPA,63.76
30 dias,"11,70%",P/EBIT,2.63,Marg. Bruta,"12,6%"
12 meses,"52,22%",PSR,0.21,Marg. EBIT,"8,0%"
2021,"41,02%",P/Ativos,0.24,Marg. Líquida,"6,6%"
2020,"13,72%",P/Cap. Giro,20.07,EBIT / Ativo,"9,1%"
2019,"5,64%",P/Ativ Circ Liq,-0.49,ROIC,"11,2%"
2018,"87,21%",Div. Yield,"4,6%",ROE,"36,9%"
2017,"70,53%",EV / EBITDA,2.97,Liquidez Corr,1.04
2016,"79,86%",EV / EBIT,3.60,Div Br/ Patrim,0.74
,,Cres. Rec (5a),"15,5%",Giro Ativos,1.14
Dados Balanço Patrimonial,Dados Balanço Patrimonial,Dados Balanço Patrimonial,Dados Balanço Patrimonial,,
Ativo,12142500000,Dív. Bruta,1824360000,,
Disponibilidades,743079000,Dív. Líquida,1081280000,,
Ativo Circulante,3758880000,Patrim. Líq,2459540000,,
Dados demonstrativos de resultados,Dados demonstrativos de resultados,Dados demonstrativos de resultados,Dados demonstrativos de resultados,,
Últimos 12 meses,Últimos 12 meses,Últimos 3 meses,Últimos 3 meses,,
Receita Líquida,13793700000,Receita Líquida,6127110000,,
EBIT,1107430000,EBIT,460153000,,
Lucro Líquido,907695000,Lucro Líquido,374747000,,
