Papel,LAND3,Cotação,0.00,,
Tipo,ON NM,Data últ cot,-,,
Empresa,TERRASANTAPA ON NM,Min 52 sem,0.00,,
Setor,Agropecuária,Max 52 sem,0.00,,
Subsetor,Agricultura,Vol $ méd (2m),0,,
Valor de mercado,0,Últ balanço processado,07/12/2021,,
Valor da firma,-,Nro. Ações,96227000,,
Oscilações,Oscilações,Indicadores fundamentalistas,Indicadores fundamentalistas,Indicadores fundamentalistas,Indicadores fundamentalistas
Dia,"0,00%",P/L,0.00,LPA,0.00
Mês,"0,00%",P/VP,0.00,VPA,0.00
30 dias,"0,00%",P/EBIT,-,Marg. Bruta,-
12 meses,"0,00%",PSR,-,Marg. EBIT,-
1,"0,00%",P/Ativos,-,Marg. Líquida,-
,"0,00%",P/Cap. Giro,-,EBIT / Ativo,"0,0%"
-1,"0,00%",P/Ativ Circ Liq,-,ROIC,-
-2,"0,00%",Div. Yield,"0,0%",ROE,-
-3,"0,00%",EV / EBITDA,-,Liquidez Corr,-
-4,"0,00%",EV / EBIT,-,Div Br/ Patrim,-
,,Cres. Rec (5a),-,Giro Ativos,-
Dados Balanço Patrimonial,Dados Balanço Patrimonial,Dados Balanço Patrimonial,Dados Balanço Patrimonial,,
Ativo,0,Dív. Bruta,0,,
Disponibilidades,0,Dív. Líquida,0,,
Ativo Circulante,0,Patrim. Líq,0,,
Dados demonstrativos de resultados,Dados demonstrativos de resultados,Dados demonstrativos de resultados,Dados demonstrativos de resultados,,
Últimos 12 meses,Últimos 12 meses,Últimos 3 meses,Últimos 3 meses,,
Receita Líquida,0,Receita Líquida,0,,
EBIT,0,EBIT,0,,
Lucro Líquido,0,Lucro Líquido,0,,
