,2021-09-30,2021-06-30,2021-03-31,2020-12-31
Change To Liabilities,754000000.0,337000000.0,-985000000.0,0.0
Total Cashflows From Investing Activities,-627000000.0,-580000000.0,-177000000.0,-177000000.0
Net Borrowings,-1637000000.0,1679000000.0,-372000000.0,-372000000.0
Total Cash From Financing Activities,-1629000000.0,1612000000.0,-372000000.0,-372000000.0
Change To Operating Activities,45000000.0,22000000.0,-32000000.0,-32000000.0
Issuance Of Stock,8000000.0,18000000.0,18000000.0,18000000.0
Net Income,538000000.0,305000000.0,240000000.0,0.0
Change In Cash,-1630000000.0,1747000000.0,-768000000.0,-768000000.0
Total Cash From Operating Activities,626000000.0,715000000.0,-219000000.0,-219000000.0
Depreciation,165000000.0,167000000.0,157000000.0,157000000.0
Change To Inventory,-844000000.0,-421000000.0,334000000.0,334000000.0
Change To Account Receivables,-5000000.0,-32000000.0,-17000000.0,-17000000.0
Change To Netincome,253000000.0,366000000.0,112000000.0,112000000.0
Capital Expenditures,-818000000.0,-565000000.0,-174000000.0,-174000000.0
Dividends Paid,,-85000000.0,-85000000.0,-85000000.0
