FII,MFAI11,Cotação,68.00,,,,
Nome,Mérito Fundos e Ações Imobiliárias FII - Fundo de Investimento Imobiliário,Data últ cot,06/12/2021,,,,
Mandato,Híbrido,Min 52 sem,64.71,,,,
Segmento,Híbrido,Max 52 sem,167.45,,,,
Gestão,Ativa,Vol $ méd (2m),44099,,,,
Valor de mercado,20615800,Nro. Cotas,303173,,,,
Relatório,30/10/2021,Últ Info Trimestral,30/09/2021,,,,
Oscilações,Oscilações,Indicadores,Indicadores,Indicadores,Indicadores,,
Dia,"1,49%",FFO Yield,"3,59%",FFO/Cota,2.44,,
Mês,"5,08%",Div. Yield,"13,6%",Dividendo/cota,9.78,,
30 dias,"-2,14%",P/VP,0.85,VP/Cota,79.88,,
12 meses,"-44,95%",Resultado,Resultado,Resultado,Resultado,,
2021,"-59,16%",Últimos 12 meses,Últimos 12 meses,Últimos 3 meses,Últimos 3 meses,,
2020,"86,15%",Receita,1583880,Receita,465625,,
2019,"0,00%",Venda de ativos,2104680,Venda de ativos,114089,,
2018,"0,00%",FFO,739798,FFO,379986,,
2017,"0,00%",Rend. Distribuído,2966370,Rend. Distribuído,530553,,
2016,"0,00%",Balanço Patrimonial,Balanço Patrimonial,Balanço Patrimonial,Balanço Patrimonial,,
,,Ativos,24449400,Patrim Líquido,24218000,,
Composição dos Ativos,Composição dos Ativos,Composição dos Ativos,Composição dos Ativos,Composição dos Ativos,Composição dos Ativos,,
,,,,,,,
Imóveis,Imóveis,Imóveis,Imóveis,Imóveis,Imóveis,,
Qtd imóveis,0,Área (m2),0,Cap Rate,-,,
Qtd Unidades,0,Aluguel/m2,-,Vacância Média,-,,
Imóveis/PL do FII,"0,0%",Preço do m2,-,,,,
Pesquisar Documentos,Pesquisar Documentos,Pesquisar Documentos,Pesquisar Documentos,Pesquisar Documentos,Pesquisar Documentos,Pesquisar Documentos,Pesquisar Documentos
