,2021-09-30,2021-06-30,2021-03-31,2020-12-31
Investments,-782000.0,5540000.0,-559000.0,-559000.0
Change To Liabilities,59303000.0,78620000.0,-32494000.0,0.0
Total Cashflows From Investing Activities,-92097000.0,-95147000.0,-42605000.0,-42605000.0
Net Borrowings,-12149000.0,-4206000.0,-15397000.0,-15397000.0
Total Cash From Financing Activities,-16585000.0,-5507000.0,-19586000.0,-19586000.0
Change To Operating Activities,-29635000.0,-17374000.0,-34717000.0,-34717000.0
Net Income,156321000.0,107456000.0,131655000.0,0.0
Change In Cash,47569000.0,-57269000.0,231379000.0,231379000.0
Effect Of Exchange Rate,14084000.0,-17410000.0,8259000.0,8259000.0
Total Cash From Operating Activities,142167000.0,60795000.0,285311000.0,285311000.0
Depreciation,52870000.0,31075000.0,34397000.0,34397000.0
Dividends Paid,-2000.0,-1000.0,-13000.0,-13000.0
Change To Inventory,-131621000.0,-65708000.0,-88513000.0,-88513000.0
Change To Account Receivables,-11749000.0,-155742000.0,112546000.0,112546000.0
Other Cashflows From Financing Activities,-4434000.0,-4270000.0,-4412000.0,-4412000.0
Change To Netincome,37052000.0,64237000.0,145341000.0,145341000.0
Capital Expenditures,-91315000.0,-51622000.0,-42046000.0,-42046000.0
Issuance Of Stock,,2970000.0,236000.0,236000.0
