Papel,ALPA4,Cotação,40.03,,
Tipo,PN N1,Data últ cot,07/12/2021,,
Empresa,ALPARGATAS PN N1,Min 52 sem,33.15,,
Setor,"Tecidos, Vestuário e Calçados",Max 52 sem,60.81,,
Subsetor,Calçados,Vol $ méd (2m),116696000,,
Valor de mercado,23540100000,Últ balanço processado,30/09/2021,,
Valor da firma,22873900000,Nro. Ações,588062000,,
Oscilações,Oscilações,Indicadores fundamentalistas,Indicadores fundamentalistas,Indicadores fundamentalistas,Indicadores fundamentalistas
Dia,"1,73%",P/L,52.37,LPA,0.76
Mês,"2,40%",P/VP,7.06,VPA,5.67
30 dias,"-1,91%",P/EBIT,28.54,Marg. Bruta,"53,4%"
12 meses,"2,98%",PSR,5.81,Marg. EBIT,"20,4%"
2021,"-4,05%",P/Ativos,4.41,Marg. Líquida,"11,1%"
2020,"26,71%",P/Cap. Giro,14.74,EBIT / Ativo,"15,5%"
2019,"143,94%",P/Ativ Circ Liq,21.97,ROIC,"20,9%"
2018,"0,30%",Div. Yield,"0,7%",ROE,"13,5%"
2017,"78,32%",EV / EBITDA,23.25,Liquidez Corr,2.13
2016,"44,68%",EV / EBIT,27.73,Div Br/ Patrim,0.07
,,Cres. Rec (5a),"-0,1%",Giro Ativos,0.76
Dados Balanço Patrimonial,Dados Balanço Patrimonial,Dados Balanço Patrimonial,Dados Balanço Patrimonial,,
Ativo,5337620000,Dív. Bruta,248435000,,
Disponibilidades,914682000,Dív. Líquida,-666247000,,
Ativo Circulante,3010840000,Patrim. Líq,3335250000,,
Dados demonstrativos de resultados,Dados demonstrativos de resultados,Dados demonstrativos de resultados,Dados demonstrativos de resultados,,
Últimos 12 meses,Últimos 12 meses,Últimos 3 meses,Últimos 3 meses,,
Receita Líquida,4052820000,Receita Líquida,1062940000,,
EBIT,824907000,EBIT,172147000,,
Lucro Líquido,449497000,Lucro Líquido,156321000,,
