Date,Dividends,Stock Splits
2009-11-23,0.009016,0.0
2010-02-25,0.0,20.0
2010-05-24,0.036223,0.0
2010-11-22,0.025248,0.0
2011-03-28,0.04374,0.0
2011-05-23,0.362232,0.0
2011-08-22,0.03731,0.0
2011-11-21,0.033506,0.0
2012-03-20,0.039121,0.0
2012-04-26,0.0,1.1
2012-05-14,0.039483,0.0
2012-08-13,0.03731,0.0
2012-11-19,0.038034,0.0
2013-03-25,0.039483,0.0
2013-04-25,0.0,1.1
2013-05-20,0.036042,0.0
2013-08-19,0.039121,0.0
2013-11-18,0.039483,0.0
2014-03-24,0.041476,0.0
2014-04-24,0.0,1.1
2014-05-19,0.042562,0.0
2014-08-18,0.043613,0.0
2014-11-17,0.025342,0.0
2015-03-16,0.268194,0.0
2015-05-18,0.050138,0.0
2015-09-08,0.055596,0.0
2015-10-01,0.136711,0.0
2015-11-23,0.054685,0.0
2015-12-08,0.165877,0.0
2016-03-14,0.038632,0.0
2016-05-16,0.031921,0.0
2016-08-15,0.057857,0.0
2016-11-14,0.112086,0.0
2017-03-20,0.069283,0.0
2017-05-15,0.066018,0.0
2017-08-14,0.068014,0.0
2017-11-21,0.069283,0.0
2018-02-22,0.176724,0.0
2018-03-05,0.068376,0.0
2018-05-21,0.064023,0.0
2018-08-20,0.068194,0.0
2019-03-21,0.0,1.25
2020-02-17,0.055209,0.0
2021-11-04,0.271922,0.0
