,2021-09-30,2021-06-30,2021-03-31,2020-12-31
Intangible Assets,636303000.0,303536000.0,277888000.0,265026000.0
Total Liab,1939240000.0,1836085000.0,1709328000.0,1796034000.0
Total Stockholder Equity,3335248000.0,3167774000.0,3074272000.0,2948735000.0
Minority Interest,63136000.0,63185000.0,63069000.0,69817000.0
Other Current Liab,452486000.0,314245000.0,311246000.0,332122000.0
Total Assets,5337624000.0,5067044000.0,4846669000.0,4814586000.0
Common Stock,1500000000.0,1500000000.0,1500000000.0,1500000000.0
Retained Earnings,1630470000.0,1473635000.0,1365105000.0,1230914000.0
Other Liab,228394000.0,232001000.0,159043000.0,160270000.0
Treasury Stock,204778000.0,184494000.0,201980000.0,210828000.0
Other Assets,567697000.0,696998000.0,668949000.0,662688000.0
Cash,914682000.0,867113000.0,924382000.0,693003000.0
Total Current Liabilities,1413976000.0,1303770000.0,1237745000.0,1277051000.0
Deferred Long Term Asset Charges,71619000.0,98003000.0,83347000.0,95041000.0
Short Long Term Debt,188132000.0,88893000.0,92267000.0,88789000.0
Other Stockholder Equity,267624000.0,247340000.0,265338000.0,274228000.0
Property Plant Equipment,1108264000.0,1072421000.0,1083621000.0,1090808000.0
Total Current Assets,3010843000.0,2699349000.0,2714062000.0,2679455000.0
Long Term Investments,14517000.0,,,14460000.0
Net Tangible Assets,2698945000.0,2569498000.0,2694235000.0,2581560000.0
Net Receivables,1082937000.0,919755000.0,906812000.0,1178493000.0
Long Term Debt,60303000.0,68002000.0,75701000.0,103874000.0
Inventory,971391000.0,839874000.0,796905000.0,715124000.0
Accounts Payable,478700000.0,410820000.0,404844000.0,464458000.0
Capital Surplus,,9645000.0,7187000.0,6993000.0
Other Current Assets,,46364000.0,59367000.0,72981000.0
Good Will,,294740000.0,102149000.0,102149000.0
