,2021-09-30,2021-06-30,2021-03-31,2020-12-31
Change To Liabilities,-1281746000.0,-1210611000.0,2468558000.0,2038091000.0
Total Cashflows From Investing Activities,-819209000.0,-708937000.0,-475074000.0,-807800000.0
Net Borrowings,-3007636000.0,-3911568000.0,-3646517000.0,-1122345000.0
Total Cash From Financing Activities,-3009561000.0,-3911672000.0,-3646522000.0,-1159964000.0
Change To Operating Activities,1011674000.0,-787280000.0,-1468333000.0,-362747000.0
Net Income,3536811000.0,7423582000.0,2494211000.0,846230000.0
Change In Cash,2260875000.0,-2728409000.0,-1369430000.0,1538474000.0
Effect Of Exchange Rate,352492000.0,-620121000.0,448373000.0,-333297000.0
Total Cash From Operating Activities,5737153000.0,2512321000.0,2303793000.0,3839535000.0
Depreciation,958632000.0,922504000.0,931622000.0,1000417000.0
Dividends Paid,-1925000.0,-104000.0,-5000.0,-1000.0
Change To Inventory,-1414094000.0,-1101011000.0,-3267540000.0,-568685000.0
Change To Account Receivables,461437000.0,-1734984000.0,-1812183000.0,-1316184000.0
Change To Netincome,1930423000.0,-2354964000.0,2058130000.0,1260316000.0
Capital Expenditures,-819253000.0,-733443000.0,-490243000.0,-829250000.0
Other Cashflows From Investing Activities,,,,1748000.0
Other Cashflows From Financing Activities,,,,-37618000.0
