,2021-09-30,2021-06-30,2021-03-31,2020-12-31
Change To Liabilities,0.0,0.0,0.0,8529345000.0
Total Cashflows From Investing Activities,-78254000.0,-247348000.0,111229000.0,-322898000.0
Net Borrowings,-2905576000.0,-1984056000.0,1972778000.0,-5638000.0
Total Cash From Financing Activities,-5491878000.0,4516977000.0,1757033000.0,-658702000.0
Change To Operating Activities,1820710000.0,2312808000.0,-7328774000.0,-2083732000.0
Issuance Of Stock,2391000.0,3268000.0,7703000.0,7703000.0
Net Income,211942000.0,180412000.0,241262000.0,298215000.0
Change In Cash,-6538986000.0,5023386000.0,2966437000.0,-2662554000.0
Repurchase Of Stock,-1000.0,-27124000.0,-27124000.0,-559313000.0
Total Cash From Operating Activities,-968855000.0,753757000.0,1098175000.0,-1680954000.0
Depreciation,208552000.0,247486000.0,171500000.0,232183000.0
Dividends Paid,-120915000.0,-150311000.0,-183052000.0,-33273000.0
Change To Account Receivables,-4087615000.0,-2259125000.0,7519206000.0,-8898225000.0
Other Cashflows From Financing Activities,-2467777000.0,6675200000.0,-40396000.0,-60478000.0
Change To Netincome,457759000.0,261537000.0,411324000.0,375751000.0
Capital Expenditures,-38643000.0,-175838000.0,-120089000.0,-210091000.0
Effect Of Exchange Rate,,,,-65694000.0
