,2021-09-30,2021-06-30,2021-03-31,2020-12-31
Intangible Assets,9891526000.0,10019092000.0,10180023000.0,10345915000.0
Total Liab,76803060000.0,79181881000.0,72421365000.0,77924877000.0
Total Stockholder Equity,9824114000.0,9807283000.0,9516939000.0,9490854000.0
Minority Interest,3081627000.0,3098072000.0,3122096000.0,3114858000.0
Deferred Long Term Liab,53479000.0,50440000.0,45122000.0,66880000.0
Other Current Liab,60768185000.0,61274664000.0,60993513000.0,66632505000.0
Total Assets,89708801000.0,92087236000.0,85060400000.0,90530589000.0
Common Stock,5700000000.0,5700000000.0,5700000000.0,5700000000.0
Other Current Assets,5016217000.0,11249086000.0,6154850000.0,3617998000.0
Retained Earnings,4441894000.0,4304754000.0,4188018000.0,4031907000.0
Other Liab,9459135000.0,8729281000.0,1893479000.0,1873687000.0
Good Will,25610000.0,27054000.0,28499000.0,29960000.0
Treasury Stock,-317780000.0,-197471000.0,-371079000.0,-241053000.0
Other Assets,2891097000.0,2815822000.0,2772353000.0,2828032000.0
Cash,179243000.0,261157000.0,411828000.0,127969000.0
Total Current Liabilities,61190989000.0,64589965000.0,61315306000.0,67097518000.0
Short Long Term Debt,70590000.0,3055018000.0,66391000.0,40960000.0
Other Stockholder Equity,-219202000.0,-96503000.0,-293967000.0,-156238000.0
Property Plant Equipment,989185000.0,1042845000.0,986164000.0,986756000.0
Total Current Assets,75633399000.0,77724056000.0,70576679000.0,75760144000.0
Long Term Investments,277984000.0,458367000.0,516682000.0,579782000.0
Net Tangible Assets,-93022000.0,-238863000.0,-691583000.0,-885021000.0
Net Receivables,70437939000.0,66213813000.0,64010001000.0,72014177000.0
Long Term Debt,6118427000.0,5803375000.0,9154093000.0,8903652000.0
