,2021-09-30,2021-06-30,2021-03-31,2020-12-31
Intangible Assets,5166000.0,5264000.0,5285000.0,5481000.0
Total Liab,3799725000.0,4485944000.0,3169598000.0,4510691000.0
Total Stockholder Equity,7781880000.0,6896999000.0,7164745000.0,6389605000.0
Other Current Liab,1810861000.0,2612074000.0,1480567000.0,2850335000.0
Total Assets,11581605000.0,11382943000.0,10334343000.0,10900296000.0
Common Stock,3396767000.0,3396767000.0,3396767000.0,3396767000.0
Other Current Assets,1439000.0,1637000.0,1536000.0,1448000.0
Retained Earnings,4727541000.0,3751720000.0,4038042000.0,3060956000.0
Other Liab,1986598000.0,1871604000.0,1686953000.0,1657388000.0
Treasury Stock,-342428000.0,-251488000.0,-270064000.0,-68118000.0
Other Assets,928785000.0,962144000.0,978001000.0,982101000.0
Cash,2753776000.0,2587049000.0,2182502000.0,2195445000.0
Total Current Liabilities,1813127000.0,2614340000.0,1482645000.0,2853303000.0
Deferred Long Term Asset Charges,21365000.0,17396000.0,17550000.0,17634000.0
Other Stockholder Equity,-261108000.0,-170168000.0,-188025000.0,14470000.0
Property Plant Equipment,42000.0,46000.0,50000.0,53000.0
Total Current Assets,3829751000.0,3765596000.0,3257728000.0,3618881000.0
Long Term Investments,6817861000.0,6649893000.0,6093279000.0,6293780000.0
Net Tangible Assets,7776714000.0,6891735000.0,7159460000.0,6384124000.0
Net Receivables,1074536000.0,872309000.0,771684000.0,1176887000.0
Short Term Investments,,304601000.0,302006000.0,245101000.0
