,2021-09-30,2021-06-30,2021-03-31,2020-12-31
Intangible Assets,212287000.0,207876000.0,198900000.0,177077000.0
Total Liab,8225813000.0,8256421000.0,8320266000.0,7919451000.0
Total Stockholder Equity,10717655000.0,10691861000.0,10802909000.0,10745632000.0
Minority Interest,465479000.0,467910000.0,492170000.0,499985000.0
Other Current Liab,84414000.0,78820000.0,86876000.0,78771000.0
Total Assets,19408947000.0,19416192000.0,19615345000.0,19165068000.0
Common Stock,10406862000.0,10406862000.0,10406862000.0,10406862000.0
Other Current Assets,1648986000.0,1829131000.0,1884795000.0,1451495000.0
Retained Earnings,853431000.0,796282000.0,909280000.0,852742000.0
Other Liab,3943139000.0,3844191000.0,3876721000.0,3842531000.0
Good Will,130891000.0,,,
Treasury Stock,-542638000.0,-511283000.0,-513233000.0,-513972000.0
Other Assets,309289000.0,344317000.0,310401000.0,262664000.0
Cash,14825000.0,17838000.0,27747000.0,28280000.0
Total Current Liabilities,519350000.0,878421000.0,478936000.0,461696000.0
Short Long Term Debt,324700000.0,695038000.0,275944000.0,234238000.0
Other Stockholder Equity,-206321000.0,-209986000.0,-211936000.0,-212675000.0
Property Plant Equipment,16316244000.0,16290095000.0,16496019000.0,16474435000.0
Total Current Assets,2047777000.0,2226108000.0,2252176000.0,1850736000.0
Long Term Investments,392459000.0,347796000.0,357849000.0,400156000.0
Net Tangible Assets,10374477000.0,10483985000.0,10604009000.0,10568555000.0
Net Receivables,383966000.0,379139000.0,339634000.0,370961000.0
Long Term Debt,3763324000.0,3533809000.0,3964609000.0,3615224000.0
Accounts Payable,46181000.0,56593000.0,66790000.0,48267000.0
