,2021-09-30,2021-06-30,2021-03-31,2020-12-31
Investments,208986000.0,76803000.0,-424968000.0,-496988000.0
Change To Liabilities,-11299000.0,-10197000.0,18523000.0,-5159000.0
Total Cashflows From Investing Activities,93832000.0,21110000.0,-484337000.0,-574272000.0
Net Borrowings,-150676000.0,-15126000.0,319820000.0,482342000.0
Total Cash From Financing Activities,-257631000.0,-73082000.0,287648000.0,459749000.0
Change To Operating Activities,11281000.0,-6493000.0,-6580000.0,-498000.0
Net Income,57149000.0,-112997000.0,56538000.0,199463000.0
Change In Cash,-3013000.0,-9909000.0,-533000.0,16704000.0
Repurchase Of Stock,-35020000.0,-35020000.0,-35020000.0,-35020000.0
Total Cash From Operating Activities,160786000.0,42063000.0,196156000.0,131227000.0
Depreciation,12236000.0,11447000.0,9275000.0,10336000.0
Other Cashflows From Investing Activities,4853000.0,-9606000.0,3465000.0,3207000.0
Change To Account Receivables,46223000.0,115870000.0,8172000.0,-91129000.0
Other Cashflows From Financing Activities,-71935000.0,-57956000.0,-32172000.0,-22593000.0
Change To Netincome,35597000.0,30300000.0,104018000.0,34169000.0
Capital Expenditures,-19310000.0,-21269000.0,-32334000.0,-37912000.0
