,2021-09-30,2021-06-30,2021-03-31,2020-12-31
Investments,-119000.0,9590000.0,81442000.0,111975000.0
Change To Liabilities,350320000.0,222102000.0,10920000.0,-143064000.0
Total Cashflows From Investing Activities,-143110000.0,-122384000.0,-156432000.0,16166000.0
Net Borrowings,-683882000.0,2472575000.0,-318047000.0,1364614000.0
Total Cash From Financing Activities,-689964000.0,2471017000.0,-297352000.0,1385239000.0
Change To Operating Activities,-125011000.0,219420000.0,-277025000.0,357209000.0
Issuance Of Stock,539000.0,1025000.0,22320000.0,20625000.0
Net Income,-2196294000.0,1162053000.0,-2786626000.0,-317391000.0
Change In Cash,-705753000.0,2063644000.0,-789385000.0,1629101000.0
Repurchase Of Stock,-6621000.0,-2583000.0,-1625000.0,-1625000.0
Effect Of Exchange Rate,197108000.0,-65552000.0,23035000.0,11327000.0
Total Cash From Operating Activities,-69787000.0,-219437000.0,-358636000.0,216369000.0
Depreciation,323257000.0,324451000.0,318896000.0,320894000.0
Change To Inventory,-43258000.0,-27255000.0,-53038000.0,-32484000.0
Change To Account Receivables,-441861000.0,-258112000.0,10886000.0,-129818000.0
Change To Netincome,2092380000.0,-1864259000.0,2421104000.0,-62530000.0
Capital Expenditures,-94813000.0,-105605000.0,-176301000.0,-34409000.0
