FII,URPR11,Cotação,103.65,,,,
Nome,URCA PRIME RENDA FUNDO DE INVESTIMENTO IMOBILIÁRIO - FII,Data últ cot,06/12/2021,,,,
Mandato,Híbrido,Min 52 sem,76.86,,,,
Segmento,Outros,Max 52 sem,117.13,,,,
Gestão,Ativa,Vol $ méd (2m),3677200,,,,
Valor de mercado,378627000,Nro. Cotas,3652937,,,,
Relatório,30/09/2021,Últ Info Trimestral,30/09/2021,,,,
Oscilações,Oscilações,Indicadores,Indicadores,Indicadores,Indicadores,,
Dia,"0,25%",FFO Yield,"5,01%",FFO/Cota,5.20,,
Mês,"0,68%",Div. Yield,"20,2%",Dividendo/cota,10.28,,
30 dias,"-7,88%",P/VP,1.10,VP/Cota,94.66,,
12 meses,"28,95%",Resultado,Resultado,Resultado,Resultado,,
2021,"28,01%",Últimos 12 meses,Últimos 12 meses,Últimos 3 meses,Últimos 3 meses,,
2020,"33,18%",Receita,22950300,Receita,5734860,,
2019,"0,00%",Venda de ativos,788999,Venda de ativos,634151,,
2018,"0,00%",FFO,18981700,FFO,3466400,,
2017,"0,00%",Rend. Distribuído,37561700,Rend. Distribuído,15435000,,
2016,"0,00%",Balanço Patrimonial,Balanço Patrimonial,Balanço Patrimonial,Balanço Patrimonial,,
,,Ativos,351584000,Patrim Líquido,345776000,,
Composição dos Ativos,Composição dos Ativos,Composição dos Ativos,Composição dos Ativos,Composição dos Ativos,Composição dos Ativos,,
,,,,,,,
Imóveis,Imóveis,Imóveis,Imóveis,Imóveis,Imóveis,,
Qtd imóveis,0,Área (m2),0,Cap Rate,-,,
Qtd Unidades,0,Aluguel/m2,-,Vacância Média,-,,
Imóveis/PL do FII,"0,0%",Preço do m2,-,,,,
Pesquisar Documentos,Pesquisar Documentos,Pesquisar Documentos,Pesquisar Documentos,Pesquisar Documentos,Pesquisar Documentos,Pesquisar Documentos,Pesquisar Documentos
