Papel,BIDI11,Cotação,37.41,,
Tipo,UNT N2,Data últ cot,07/12/2021,,
Empresa,BANCO INTER UNT N2,Min 52 sem,25.71,,
Setor,Intermediários Financeiros,Max 52 sem,84.90,,
Subsetor,Bancos,Vol $ méd (2m),406031000,,
Valor de mercado,32155200000,Últ balanço processado,30/09/2021,,
Valor da firma,-,Nro. Ações,2578600000,,
Oscilações,Oscilações,Indicadores fundamentalistas,Indicadores fundamentalistas,Indicadores fundamentalistas,Indicadores fundamentalistas
Dia,"13,36%",P/L,601.38,LPA,0.06
Mês,"3,26%",P/VP,3.77,VPA,9.93
30 dias,"-18,97%",P/EBIT,-,Marg. Bruta,-
12 meses,"47,02%",PSR,-,Marg. EBIT,-
2021,"14,01%",P/Ativos,-,Marg. Líquida,"0,0%"
2020,"113,92%",P/Cap. Giro,-,EBIT / Ativo,"0,0%"
2019,"14,46%",P/Ativ Circ Liq,-,ROIC,-
2018,"0,59%",Div. Yield,"0,1%",ROE,"0,6%"
2017,"0,00%",EV / EBITDA,-,Liquidez Corr,-
2016,"0,00%",EV / EBIT,-,Div Br/ Patrim,-
,,Cres. Rec (5a),"46,7%",Giro Ativos,-
Dados Balanço Patrimonial,Dados Balanço Patrimonial,Dados Balanço Patrimonial,Dados Balanço Patrimonial,,
Ativo,33528400000,Depósitos,17294300000,,
Cart. de Crédito,9335290000,Patrim. Líq,8536610000,,
Dados demonstrativos de resultados,Dados demonstrativos de resultados,Dados demonstrativos de resultados,Dados demonstrativos de resultados,,
Últimos 12 meses,Últimos 12 meses,Últimos 3 meses,Últimos 3 meses,,
Result Int Financ,904598000,Result Int Financ,297461000,,
Rec Serviços,353326000,Rec Serviços,115966000,,
Lucro Líquido,53469000,Lucro Líquido,14202000,,
