FII,JPPA11,Cotação,95.49,,,,
Nome,JPP ALLOCATON MOGNO FUNDO DE INVESTIMENTO IMOBILIÁRIO,Data últ cot,06/12/2021,,,,
Mandato,Títulos e Valores Mobiliários,Min 52 sem,85.22,,,,
Segmento,Títulos e Val. Mob.,Max 52 sem,96.20,,,,
Gestão,Ativa,Vol $ méd (2m),66919,,,,
Valor de mercado,57672500,Nro. Cotas,603964,,,,
Relatório,31/10/2021,Últ Info Trimestral,30/09/2021,,,,
Oscilações,Oscilações,Indicadores,Indicadores,Indicadores,Indicadores,,
Dia,"-0,74%",FFO Yield,"9,53%",FFO/Cota,9.10,,
Mês,"0,52%",Div. Yield,"12,1%",Dividendo/cota,11.69,,
30 dias,"-0,05%",P/VP,0.93,VP/Cota,102.39,,
12 meses,"9,81%",Resultado,Resultado,Resultado,Resultado,,
2021,"8,05%",Últimos 12 meses,Últimos 12 meses,Últimos 3 meses,Últimos 3 meses,,
2020,"-5,71%",Receita,6089420,Receita,1115740,,
2019,"5,12%",Venda de ativos,39869,Venda de ativos,38437,,
2018,"0,00%",FFO,5494950,FFO,1314380,,
2017,"0,00%",Rend. Distribuído,7060340,Rend. Distribuído,1993080,,
2016,"0,00%",Balanço Patrimonial,Balanço Patrimonial,Balanço Patrimonial,Balanço Patrimonial,,
,,Ativos,62615600,Patrim Líquido,61842600,,
Composição dos Ativos,Composição dos Ativos,Composição dos Ativos,Composição dos Ativos,Composição dos Ativos,Composição dos Ativos,,
,,,,,,,
Imóveis,Imóveis,Imóveis,Imóveis,Imóveis,Imóveis,,
Qtd imóveis,0,Área (m2),0,Cap Rate,-,,
Qtd Unidades,0,Aluguel/m2,-,Vacância Média,-,,
Imóveis/PL do FII,"0,0%",Preço do m2,-,,,,
Pesquisar Documentos,Pesquisar Documentos,Pesquisar Documentos,Pesquisar Documentos,Pesquisar Documentos,Pesquisar Documentos,Pesquisar Documentos,Pesquisar Documentos
