FII,BMLC11,Cotação,88.00,,,,
Nome,FII BM BRASCAN LAJES CORPORATIVAS,Data últ cot,06/12/2021,,,,
Mandato,Títulos e Valores Mobiliários,Min 52 sem,80.29,,,,
Segmento,Híbrido,Max 52 sem,93.37,,,,
Gestão,Ativa,Vol $ méd (2m),29685,,,,
Valor de mercado,87859600,Nro. Cotas,998405,,,,
Relatório,31/10/2021,Últ Info Trimestral,30/09/2021,,,,
Oscilações,Oscilações,Indicadores,Indicadores,Indicadores,Indicadores,,
Dia,"0,36%",FFO Yield,"7,92%",FFO/Cota,6.97,,
Mês,"0,16%",Div. Yield,"7,9%",Dividendo/cota,6.97,,
30 dias,"-1,54%",P/VP,0.82,VP/Cota,106.74,,
12 meses,"0,74%",Resultado,Resultado,Resultado,Resultado,,
2021,"-0,88%",Últimos 12 meses,Últimos 12 meses,Últimos 3 meses,Últimos 3 meses,,
2020,"0,79%",Receita,7848410,Receita,2165300,,
2019,"0,00%",Venda de ativos,0,Venda de ativos,0,,
2018,"0,00%",FFO,6955960,FFO,1911480,,
2017,"0,00%",Rend. Distribuído,6962880,Rend. Distribuído,1767180,,
2016,"0,00%",Balanço Patrimonial,Balanço Patrimonial,Balanço Patrimonial,Balanço Patrimonial,,
,,Ativos,109324000,Patrim Líquido,106574000,,
Composição dos Ativos,Composição dos Ativos,Composição dos Ativos,Composição dos Ativos,Composição dos Ativos,Composição dos Ativos,,
,,,,,,,
Imóveis,Imóveis,Imóveis,Imóveis,Imóveis,Imóveis,,
Qtd imóveis,2,Área (m2),7270,Cap Rate,"9,0%",,
Qtd Unidades,25,Aluguel/m2,1070,Vacância Média,"0,0%",,
Imóveis/PL do FII,"98,7%",Preço do m2,11926,,,,
Pesquisar Documentos,Pesquisar Documentos,Pesquisar Documentos,Pesquisar Documentos,Pesquisar Documentos,Pesquisar Documentos,Pesquisar Documentos,Pesquisar Documentos
