,2021-09-30,2021-06-30,2021-03-31,2020-12-31
Intangible Assets,66257000.0,52119000.0,57542000.0,57251000.0
Total Liab,38317743000.0,37123822000.0,33267924000.0,33206480000.0
Total Stockholder Equity,5676188000.0,5558555000.0,5434146000.0,5317468000.0
Other Current Liab,5155812000.0,4847812000.0,3870137000.0,3937943000.0
Total Assets,43993931000.0,42682377000.0,38702070000.0,38523948000.0
Common Stock,4175222000.0,4175222000.0,4175222000.0,4175222000.0
Other Current Assets,2070403000.0,1737800000.0,226380000.0,203973000.0
Retained Earnings,1314286000.0,1197778000.0,1074500000.0,958655000.0
Other Liab,866922000.0,917261000.0,614092000.0,655910000.0
Good Will,20879000.0,27142000.0,33405000.0,39668000.0
Treasury Stock,186680000.0,185555000.0,184424000.0,183591000.0
Other Assets,35010017000.0,34421931000.0,32101288000.0,31090900000.0
Cash,876996000.0,130922000.0,3542000.0,1256743000.0
Total Current Liabilities,30192668000.0,29846681000.0,31633412000.0,31881721000.0
Deferred Long Term Asset Charges,3671818000.0,3728651000.0,3596381000.0,3498644000.0
Short Long Term Debt,2833861000.0,5313193000.0,5451114000.0,5993026000.0
Other Stockholder Equity,186680000.0,185555000.0,184424000.0,183591000.0
Property Plant Equipment,49097000.0,26692000.0,25263000.0,23360000.0
Total Current Assets,5193586000.0,6035783000.0,3766543000.0,5844596000.0
Long Term Investments,3654095000.0,2118710000.0,2718029000.0,1468173000.0
Net Tangible Assets,5589052000.0,5479294000.0,5343199000.0,5220549000.0
Short Term Investments,7015000.0,1471900000.0,804762000.0,1295980000.0
Net Receivables,2035333000.0,2509128000.0,2486446000.0,2751275000.0
Long Term Debt,7258153000.0,6359880000.0,1020420000.0,668849000.0
Inventory,160509000.0,169134000.0,223630000.0,265239000.0
Accounts Payable,21846075000.0,19406912000.0,22151695000.0,21566403000.0
