,2021-09-30,2021-06-30,2021-03-31,2020-12-31
Investments,41232000.0,-29253000.0,-704524000.0,-371212000.0
Change To Liabilities,-156220000.0,175497000.0,0.0,0.0
Total Cashflows From Investing Activities,31658000.0,-6078000.0,-675531000.0,-345761000.0
Net Borrowings,-316888000.0,4436206000.0,319236000.0,732322000.0
Total Cash From Financing Activities,2122275000.0,1682657000.0,658398000.0,1514377000.0
Change To Operating Activities,-2095308000.0,-2487957000.0,-1513320000.0,-1851096000.0
Net Income,191366000.0,202485000.0,190277000.0,170941000.0
Change In Cash,746073000.0,127331000.0,-1253200000.0,-212671000.0
Effect Of Exchange Rate,783000.0,46000.0,569000.0,129000.0
Total Cash From Operating Activities,-1408642000.0,-1549295000.0,-1236636000.0,-1381416000.0
Depreciation,13330000.0,11633000.0,9118000.0,27839000.0
Other Cashflows From Financing Activities,2439163000.0,-2744783000.0,585292000.0,782055000.0
Change To Netincome,440548000.0,221019000.0,139779000.0,217005000.0
Capital Expenditures,-29569000.0,-6811000.0,-4758000.0,-2080000.0
Dividends Paid,,-8766000.0,-246130000.0,-246130000.0
