Papel,BBDC4,Cotação,20.95,,
Tipo,PN N1,Data últ cot,07/12/2021,,
Empresa,BANCO BRADESCO S.A. PN N1,Min 52 sem,19.04,,
Setor,Intermediários Financeiros,Max 52 sem,27.82,,
Subsetor,Bancos,Vol $ méd (2m),945061000,,
Valor de mercado,203615000000,Últ balanço processado,30/09/2021,,
Valor da firma,-,Nro. Ações,9719080000,,
Oscilações,Oscilações,Indicadores fundamentalistas,Indicadores fundamentalistas,Indicadores fundamentalistas,Indicadores fundamentalistas
Dia,"-1,18%",P/L,8.40,LPA,2.49
Mês,"5,30%",P/VP,1.38,VPA,15.19
30 dias,"4,88%",P/EBIT,-,Marg. Bruta,-
12 meses,"-7,39%",PSR,-,Marg. EBIT,-
2021,"-12,79%",P/Ativos,-,Marg. Líquida,"0,0%"
2020,"-15,33%",P/Cap. Giro,-,EBIT / Ativo,"0,0%"
2019,"17,98%",P/Ativ Circ Liq,-,ROIC,-
2018,"28,72%",Div. Yield,"5,5%",ROE,"16,4%"
2017,"32,58%",EV / EBITDA,-,Liquidez Corr,-
2016,"75,50%",EV / EBIT,-,Div Br/ Patrim,-
,,Cres. Rec (5a),"24,1%",Giro Ativos,-
Dados Balanço Patrimonial,Dados Balanço Patrimonial,Dados Balanço Patrimonial,Dados Balanço Patrimonial,,
Ativo,1443110000000,Depósitos,0,,
Cart. de Crédito,0,Patrim. Líq,147606000000,,
Dados demonstrativos de resultados,Dados demonstrativos de resultados,Dados demonstrativos de resultados,Dados demonstrativos de resultados,,
Últimos 12 meses,Últimos 12 meses,Últimos 3 meses,Últimos 3 meses,,
Result Int Financ,46786300000,Result Int Financ,10259600000,,
Rec Serviços,20310700000,Rec Serviços,5255720000,,
Lucro Líquido,24239400000,Lucro Líquido,6647980000,,
