FII,AFHI11,Cotação,97.34,,,,
Nome,AF INVEST CRI FUNDO DE INVESTIMENTO IMOBILIÁRIO - RECEBÍVEIS IMOBILIÁRIOS,Data últ cot,06/12/2021,,,,
Mandato,Títulos e Valores Mobiliários,Min 52 sem,85.18,,,,
Segmento,Títulos e Val. Mob.,Max 52 sem,98.43,,,,
Gestão,Ativa,Vol $ méd (2m),889076,,,,
Valor de mercado,174012000,Nro. Cotas,1787671,,,,
Relatório,31/10/2021,Últ Info Trimestral,30/09/2021,,,,
Oscilações,Oscilações,Indicadores,Indicadores,Indicadores,Indicadores,,
Dia,"1,39%",FFO Yield,"3,38%",FFO/Cota,3.29,,
Mês,"1,29%",Div. Yield,"6,3%",Dividendo/cota,6.15,,
30 dias,"4,84%",P/VP,1.00,VP/Cota,97.75,,
12 meses,"7,90%",Resultado,Resultado,Resultado,Resultado,,
2021,"7,90%",Últimos 12 meses,Últimos 12 meses,Últimos 3 meses,Últimos 3 meses,,
2020,"0,00%",Receita,6977150,Receita,3395150,,
2019,"0,00%",Venda de ativos,1194430,Venda de ativos,542244,,
2018,"0,00%",FFO,5882370,FFO,2913470,,
2017,"0,00%",Rend. Distribuído,10994200,Rend. Distribuído,5809930,,
2016,"0,00%",Balanço Patrimonial,Balanço Patrimonial,Balanço Patrimonial,Balanço Patrimonial,,
,,Ativos,177383000,Patrim Líquido,174736000,,
Composição dos Ativos,Composição dos Ativos,Composição dos Ativos,Composição dos Ativos,Composição dos Ativos,Composição dos Ativos,,
,,,,,,,
Imóveis,Imóveis,Imóveis,Imóveis,Imóveis,Imóveis,,
Qtd imóveis,0,Área (m2),0,Cap Rate,-,,
Qtd Unidades,0,Aluguel/m2,-,Vacância Média,-,,
Imóveis/PL do FII,"0,0%",Preço do m2,-,,,,
Pesquisar Documentos,Pesquisar Documentos,Pesquisar Documentos,Pesquisar Documentos,Pesquisar Documentos,Pesquisar Documentos,Pesquisar Documentos,Pesquisar Documentos
