,2021-09-30,2021-06-30,2021-03-31,2020-12-31
Research Development,,,,
Effect Of Accounting Charges,,,,
Income Before Tax,6527000.0,-27835000.0,5221000.0,7298000.0
Minority Interest,69067000.0,125685000.0,49645000.0,48581000.0
Net Income,14202000.0,9649000.0,14872000.0,14746000.0
Selling General Administrative,374189000.0,324772000.0,281919000.0,245797000.0
Gross Profit,511748000.0,392460000.0,349438000.0,324561000.0
Ebit,0.0,0.0,0.0,0.0
Operating Income,11981000.0,-31728000.0,7650000.0,14356000.0
Other Operating Expenses,125578000.0,99416000.0,59869000.0,64408000.0
Interest Expense,,,,
Extraordinary Items,,,,
Non Recurring,,,,
Other Items,,,,
Income Tax Expense,-12719000.0,-46076000.0,-15616000.0,-12096000.0
Total Revenue,512810000.0,393448000.0,350207000.0,325151000.0
Total Operating Expenses,500829000.0,425176000.0,342557000.0,310795000.0
Cost Of Revenue,1062000.0,988000.0,769000.0,590000.0
Total Other Income Expense Net,-5454000.0,3893000.0,-2429000.0,-7058000.0
Discontinued Operations,,,,
Net Income From Continuing Ops,19246000.0,18241000.0,20837000.0,19394000.0
Net Income Applicable To Common Shares,14202000.0,9649000.0,14872000.0,14746000.0
