,2021-09-30,2021-06-30,2021-03-31,2020-12-31
Investments,-5041845000.0,-1817505000.0,-667454000.0,-4249552000.0
Change To Liabilities,0.0,0.0,0.0,-3924000.0
Total Cashflows From Investing Activities,-5102680000.0,-1892356000.0,-766438000.0,-4289949000.0
Total Cash From Financing Activities,1442258000.0,7737333000.0,938274000.0,2833410000.0
Change To Operating Activities,-1755634000.0,-1471154000.0,-1173898000.0,-1574393000.0
Issuance Of Stock,613000.0,5389420000.0,7040000.0,145943000.0
Net Income,14202000.0,9649000.0,14872000.0,14746000.0
Change In Cash,-5239494000.0,4773730000.0,-1255634000.0,-3160184000.0
Total Cash From Operating Activities,-1579072000.0,-1071075000.0,-1428476000.0,-1704215000.0
Depreciation,155000.0,-10199000.0,15256000.0,848000.0
Dividends Paid,-31121000.0,-31121000.0,-10373000.0,-10373000.0
Other Cashflows From Financing Activities,1472766000.0,2347913000.0,941607000.0,2804989000.0
Change To Netincome,129887000.0,41483000.0,43963000.0,36178000.0
Capital Expenditures,-1778000.0,-4736000.0,-3349000.0,-3061000.0
Effect Of Exchange Rate,,-172000.0,1006000.0,570000.0
Repurchase Of Stock,,,,-117522000.0
Other Cashflows From Investing Activities,,,,1000.0
