,2021-09-30,2021-06-30,2021-03-31,2020-12-31
Intangible Assets,200509000.0,173163000.0,130956000.0,118038000.0
Total Liab,25065936000.0,21393560000.0,17965729000.0,16445084000.0
Total Stockholder Equity,8535906000.0,8636945000.0,3232167000.0,3301908000.0
Minority Interest,69067000.0,125685000.0,49645000.0,48581000.0
Deferred Long Term Liab,100475000.0,111385000.0,105131000.0,69144000.0
Other Current Liab,1320805000.0,787202000.0,692454000.0,524707000.0
Total Assets,33670909000.0,30156190000.0,21247541000.0,19795573000.0
Common Stock,8655706000.0,8655575000.0,3216455000.0,3216455000.0
Other Current Assets,1662920000.0,1019093000.0,1507943000.0,1096358000.0
Retained Earnings,80215000.0,66052000.0,87483000.0,82984000.0
Other Liab,260074000.0,254607000.0,153726000.0,78945000.0
Good Will,78266000.0,64196000.0,67333000.0,37332000.0
Treasury Stock,-200015000.0,-84682000.0,-71771000.0,2469000.0
Other Assets,15459917000.0,13188846000.0,10809609000.0,9248263000.0
Cash,359765000.0,294244000.0,347158000.0,487461000.0
Total Current Liabilities,22232097000.0,19679789000.0,16627518000.0,15197043000.0
Deferred Long Term Asset Charges,485324000.0,361404000.0,258442000.0,156383000.0
Short Long Term Debt,545135000.0,679386000.0,547317000.0,587745000.0
Other Stockholder Equity,-163652000.0,-48319000.0,-35409000.0,119990000.0
Property Plant Equipment,36346000.0,35737000.0,32292000.0,29899000.0
Total Current Assets,5017657000.0,8910990000.0,3973156000.0,4977925000.0
Long Term Investments,12878214000.0,7783258000.0,6234195000.0,5384116000.0
Net Tangible Assets,8257131000.0,8399586000.0,3033878000.0,3146538000.0
Short Term Investments,2261822000.0,6741737000.0,1532410000.0,2895943000.0
Net Receivables,425662000.0,567475000.0,326384000.0,258876000.0
Long Term Debt,2573765000.0,1459164000.0,1184485000.0,1169096000.0
Inventory,139290000.0,139855000.0,130120000.0,129996000.0
Accounts Payable,17179131000.0,15644703000.0,13364906000.0,12417728000.0
