FII,TRXB11,Cotação,118.00,,,,
Nome,TRX REAL ESTATE II FUNDO DE INVESTIMENTO IMOBILIÁRIO - FII,Data últ cot,06/12/2021,,,,
Mandato,Títulos e Valores Mobiliários,Min 52 sem,106.49,,,,
Segmento,Híbrido,Max 52 sem,122.85,,,,
Gestão,Passiva,Vol $ méd (2m),3085130,,,,
Valor de mercado,295167000,Nro. Cotas,2501419,,,,
Relatório,-,Últ Info Trimestral,30/09/2021,,,,
Oscilações,Oscilações,Indicadores,Indicadores,Indicadores,Indicadores,,
Dia,"0,00%",FFO Yield,"8,02%",FFO/Cota,9.46,,
Mês,"0,72%",Div. Yield,"8,1%",Dividendo/cota,9.63,,
30 dias,"-0,94%",P/VP,1.15,VP/Cota,102.30,,
12 meses,"6,65%",Resultado,Resultado,Resultado,Resultado,,
2021,"7,12%",Últimos 12 meses,Últimos 12 meses,Últimos 3 meses,Últimos 3 meses,,
2020,"11,24%",Receita,51232400,Receita,13402800,,
2019,"0,00%",Venda de ativos,-1,Venda de ativos,0,,
2018,"0,00%",FFO,23662500,FFO,6860400,,
2017,"0,00%",Rend. Distribuído,24077900,Rend. Distribuído,6303580,,
2016,"0,00%",Balanço Patrimonial,Balanço Patrimonial,Balanço Patrimonial,Balanço Patrimonial,,
,,Ativos,725037000,Patrim Líquido,255889000,,
Composição dos Ativos,Composição dos Ativos,Composição dos Ativos,Composição dos Ativos,Composição dos Ativos,Composição dos Ativos,,
,,,,,,,
Imóveis,Imóveis,Imóveis,Imóveis,Imóveis,Imóveis,,
Qtd imóveis,12,Área (m2),124772,Cap Rate,"12,8%",,
Qtd Unidades,12,Aluguel/m2,409,Vacância Média,"0,0%",,
Imóveis/PL do FII,"135,2%",Preço do m2,3199,,,,
Pesquisar Documentos,Pesquisar Documentos,Pesquisar Documentos,Pesquisar Documentos,Pesquisar Documentos,Pesquisar Documentos,Pesquisar Documentos,Pesquisar Documentos
