Date,Dividends,Stock Splits
2006-02-02,0.0,4.0
2008-08-12,0.25,0.0
2009-04-16,0.0875,0.0
2009-08-13,0.29,0.0
2010-04-29,0.0575,0.0
2010-09-21,0.425,0.0
2011-04-20,0.057077,0.0
2011-08-30,0.3975,0.0
2011-11-28,0.0,4.0
2012-04-16,0.057077,0.0
2012-10-01,0.54,0.0
2013-04-19,0.057077,0.0
2013-09-27,0.68,0.0
2014-04-16,0.057077,0.0
2014-09-29,0.7359,0.0
2015-04-17,0.057077,0.0
2015-10-05,0.487534,0.0
2015-12-18,0.050408,0.0
2016-03-16,0.283192,0.0
2016-11-10,0.424788,0.0
2017-04-12,0.19802,0.0
2017-10-20,0.438614,0.0
2018-04-17,0.049592,0.0
2018-10-24,0.396039,0.0
2019-05-08,0.297029,0.0
2019-10-21,0.465346,0.0
2020-04-13,0.297029,0.0
2020-10-02,0.184774,0.0
2021-04-09,0.089842,0.0
2021-12-01,0.076138,0.0
