,2021-09-30,2021-06-30,2021-03-31,2020-12-31
Intangible Assets,8943154000.0,8183105000.0,7950238000.0,7575920000.0
Capital Surplus,11441000.0,11441000.0,11441000.0,70496000.0
Total Liab,1519350425000.0,1480203540000.0,1467757930000.0,1458536416000.0
Total Stockholder Equity,147605978000.0,146488157000.0,144240036000.0,145620218000.0
Minority Interest,686861000.0,694070000.0,803113000.0,497156000.0
Deferred Long Term Liab,1151579000.0,1135725000.0,1100027000.0,1020567000.0
Other Current Liab,98476768000.0,94542673000.0,87003055000.0,36357654000.0
Total Assets,1667643264000.0,1627385767000.0,1612801079000.0,1604653790000.0
Common Stock,83100000000.0,83100000000.0,83100000000.0,79100000000.0
Other Current Assets,160605507000.0,163588117000.0,162944327000.0,117577453000.0
Retained Earnings,67221315000.0,61100338000.0,59055182000.0,58750920000.0
Other Liab,337961662000.0,341462051000.0,338390744000.0,366990002000.0
Good Will,2959007000.0,3119337000.0,3595453000.0,7093544000.0
Treasury Stock,-2726778000.0,2276378000.0,2073413000.0,7698802000.0
Other Assets,495954131000.0,466071976000.0,456332149000.0,566297333000.0
Cash,96064508000.0,102863426000.0,128608328000.0,23845061000.0
Total Current Liabilities,1035467268000.0,1009315794000.0,1012607768000.0,905674048000.0
Short Long Term Debt,342163615000.0,340726097000.0,362462114000.0,78880133000.0
Other Stockholder Equity,-2060076000.0,2502827000.0,2073413000.0,8139316000.0
Property Plant Equipment,9062417000.0,9319685000.0,9555754000.0,14071129000.0
Total Current Assets,650139883000.0,661484118000.0,673448830000.0,385591859000.0
Long Term Investments,500584672000.0,479207546000.0,461918655000.0,624024005000.0
Net Tangible Assets,139820117000.0,138804799000.0,136568084000.0,134582602000.0
Net Receivables,91444267000.0,89577625000.0,91679759000.0,5535882000.0
Long Term Debt,145921495000.0,129425695000.0,116759418000.0,181721262000.0
Inventory,1216086000.0,1212259000.0,,1202488000.0
Accounts Payable,565363026000.0,546710575000.0,539982090000.0,547683129000.0
Deferred Long Term Asset Charges,,,,76984262000.0
Short Term Investments,,,,179729419000.0
