FII,VCJR11,Cotação,96.35,,,,
Nome,VECTIS JUROS REAL FUNDO DE INVESTIMENTO IMOBILIÁRIO - FII,Data últ cot,06/12/2021,,,,
Mandato,Títulos e Valores Mobiliários,Min 52 sem,88.21,,,,
Segmento,Títulos e Val. Mob.,Max 52 sem,96.91,,,,
Gestão,Ativa,Vol $ méd (2m),1018230,,,,
Valor de mercado,1118030000,Nro. Cotas,11603880,,,,
Relatório,30/11/2021,Últ Info Trimestral,30/09/2021,,,,
Oscilações,Oscilações,Indicadores,Indicadores,Indicadores,Indicadores,,
Dia,"1,62%",FFO Yield,"6,23%",FFO/Cota,6.00,,
Mês,"1,69%",Div. Yield,"11,7%",Dividendo/cota,10.59,,
30 dias,"3,09%",P/VP,1.03,VP/Cota,93.94,,
12 meses,"6,16%",Resultado,Resultado,Resultado,Resultado,,
2021,"1,99%",Últimos 12 meses,Últimos 12 meses,Últimos 3 meses,Últimos 3 meses,,
2020,"6,48%",Receita,83892200,Receita,32881100,,
2019,"0,00%",Venda de ativos,3528890,Venda de ativos,963796,,
2018,"0,00%",FFO,69605100,FFO,27987400,,
2017,"0,00%",Rend. Distribuído,122842000,Rend. Distribuído,44791000,,
2016,"0,00%",Balanço Patrimonial,Balanço Patrimonial,Balanço Patrimonial,Balanço Patrimonial,,
,,Ativos,1105330000,Patrim Líquido,1090070000,,
Composição dos Ativos,Composição dos Ativos,Composição dos Ativos,Composição dos Ativos,Composição dos Ativos,Composição dos Ativos,,
,,,,,,,
Imóveis,Imóveis,Imóveis,Imóveis,Imóveis,Imóveis,,
Qtd imóveis,0,Área (m2),0,Cap Rate,-,,
Qtd Unidades,0,Aluguel/m2,-,Vacância Média,-,,
Imóveis/PL do FII,"0,0%",Preço do m2,-,,,,
Pesquisar Documentos,Pesquisar Documentos,Pesquisar Documentos,Pesquisar Documentos,Pesquisar Documentos,Pesquisar Documentos,Pesquisar Documentos,Pesquisar Documentos
