FII,CACR11,Cotação,103.35,,,,
Nome,AF INVEST FUNDO DE INVESTIMENTO IMOBILIÁRIO - RECEBÍVEIS IMOBILIÁRIOS,Data últ cot,06/12/2021,,,,
Mandato,Híbrido,Min 52 sem,100.51,,,,
Segmento,Híbrido,Max 52 sem,103.46,,,,
Gestão,Ativa,Vol $ méd (2m),138683,,,,
Valor de mercado,156495000,Nro. Cotas,1514227,,,,
Relatório,31/10/2021,Últ Info Trimestral,30/09/2021,,,,
Oscilações,Oscilações,Indicadores,Indicadores,Indicadores,Indicadores,,
Dia,"0,25%",FFO Yield,"12,67%",FFO/Cota,13.09,,
Mês,"1,53%",Div. Yield,"1,4%",Dividendo/cota,1.51,,
30 dias,"1,92%",P/VP,1.02,VP/Cota,101.01,,
12 meses,"1,92%",Resultado,Resultado,Resultado,Resultado,,
2021,"1,92%",Últimos 12 meses,Últimos 12 meses,Últimos 3 meses,Últimos 3 meses,,
2020,"0,00%",Receita,22302000,Receita,7390450,,
2019,"0,00%",Venda de ativos,66741,Venda de ativos,0,,
2018,"0,00%",FFO,19820600,FFO,5897310,,
2017,"0,00%",Rend. Distribuído,2286480,Rend. Distribuído,2286480,,
2016,"0,00%",Balanço Patrimonial,Balanço Patrimonial,Balanço Patrimonial,Balanço Patrimonial,,
,,Ativos,155467000,Patrim Líquido,152953000,,
Composição dos Ativos,Composição dos Ativos,Composição dos Ativos,Composição dos Ativos,Composição dos Ativos,Composição dos Ativos,,
,,,,,,,
Imóveis,Imóveis,Imóveis,Imóveis,Imóveis,Imóveis,,
Qtd imóveis,0,Área (m2),0,Cap Rate,-,,
Qtd Unidades,0,Aluguel/m2,-,Vacância Média,-,,
Imóveis/PL do FII,"0,0%",Preço do m2,-,,,,
Pesquisar Documentos,Pesquisar Documentos,Pesquisar Documentos,Pesquisar Documentos,Pesquisar Documentos,Pesquisar Documentos,Pesquisar Documentos,Pesquisar Documentos
