,2021-09-30,2021-06-30,2021-03-31,2020-12-31
Investments,-151719000.0,118596000.0,-118596000.0,-4001000.0
Change To Liabilities,-153000.0,2759000.0,196000.0,-986000.0
Total Cashflows From Investing Activities,-26110000.0,-21835000.0,-103159000.0,1572000.0
Net Borrowings,-268000.0,-689000.0,-107000.0,-12913000.0
Total Cash From Financing Activities,398863000.0,-5038000.0,-107000.0,298831000.0
Change To Operating Activities,10141000.0,-3019000.0,-1601000.0,3498000.0
Issuance Of Stock,427500000.0,427500000.0,427500000.0,334678000.0
Net Income,-4539000.0,-6692000.0,4137000.0,2304000.0
Change In Cash,376865000.0,-40029000.0,-97061000.0,296915000.0
Repurchase Of Stock,-4985000.0,-4985000.0,-4985000.0,-4985000.0
Effect Of Exchange Rate,-2595000.0,-2595000.0,-2595000.0,-2595000.0
Total Cash From Operating Activities,6707000.0,-13156000.0,6205000.0,-3488000.0
Depreciation,1903000.0,542000.0,288000.0,272000.0
Dividends Paid,-316000.0,-4349000.0,-4349000.0,-4349000.0
Change To Account Receivables,-986000.0,-4709000.0,5113000.0,-11542000.0
Other Cashflows From Financing Activities,-23068000.0,-23068000.0,-23068000.0,-22934000.0
Change To Netincome,2724000.0,-870000.0,428000.0,3073000.0
Capital Expenditures,-1970000.0,-77000.0,-485000.0,-642000.0
Other Cashflows From Investing Activities,,,,6700000.0
