,2021-09-30,2021-06-30,2021-03-31,2020-12-31
Intangible Assets,161094000.0,61902000.0,35878000.0,3566000.0
Total Liab,96883000.0,62120000.0,24875000.0,19718000.0
Total Stockholder Equity,713849000.0,351577000.0,358922000.0,355132000.0
Minority Interest,15521000.0,15678000.0,15008000.0,2352000.0
Other Current Liab,11659000.0,11928000.0,12188000.0,13471000.0
Total Assets,826253000.0,429375000.0,398805000.0,377202000.0
Common Stock,772178000.0,344678000.0,344678000.0,344678000.0
Other Current Assets,2383000.0,9961000.0,7698000.0,5446000.0
Retained Earnings,-3689000.0,850000.0,7542000.0,3405000.0
Other Liab,66228000.0,37183000.0,2622000.0,538000.0
Treasury Stock,-54640000.0,-1000000.0,-347000.0,
Other Assets,38004000.0,17176000.0,14515000.0,15819000.0
Cash,570982000.0,194117000.0,234146000.0,331207000.0
Total Current Liabilities,29430000.0,24646000.0,21774000.0,19180000.0
Deferred Long Term Asset Charges,23724000.0,13969000.0,11739000.0,12537000.0
Short Long Term Debt,303000.0,291000.0,728000.0,
Other Stockholder Equity,-49655000.0,-1000000.0,-347000.0,
Property Plant Equipment,6415000.0,3154000.0,3382000.0,3138000.0
Total Current Assets,620739000.0,235151000.0,266232000.0,354679000.0
Long Term Investments,1000.0,1000.0,1000.0,
Net Tangible Assets,552755000.0,177684000.0,244247000.0,351566000.0
Net Receivables,47374000.0,31073000.0,24388000.0,18026000.0
Long Term Debt,227000.0,291000.0,479000.0,
Accounts Payable,4764000.0,4887000.0,2130000.0,673000.0
Capital Surplus,,7049000.0,7049000.0,7049000.0
Good Will,,111991000.0,78797000.0,
