,2021-09-30,2021-06-30,2021-03-31,2020-12-31
Intangible Assets,4121865000.0,3833155000.0,2549911000.0,2513796000.0
Total Liab,27668647000.0,27233455000.0,10391348000.0,13121069000.0
Total Stockholder Equity,15663360000.0,15730555000.0,9231502000.0,9485706000.0
Other Current Liab,1582948000.0,1677481000.0,448701000.0,456545000.0
Total Assets,43332007000.0,42964010000.0,19622850000.0,22606775000.0
Common Stock,14846012000.0,14777917000.0,12345170000.0,12340651000.0
Other Current Assets,1143103000.0,1026381000.0,502268000.0,475945000.0
Retained Earnings,1273901000.0,1033350000.0,-2968008000.0,-2804397000.0
Other Liab,999605000.0,728591000.0,270765000.0,263834000.0
Good Will,1338918000.0,875990000.0,580203000.0,580203000.0
Treasury Stock,-456553000.0,-80712000.0,-145660000.0,-50548000.0
Other Assets,6197212000.0,5587159000.0,3057854000.0,2904407000.0
Cash,4379923000.0,7432562000.0,4331029000.0,6634287000.0
Total Current Liabilities,14454150000.0,12656088000.0,5265479000.0,5331073000.0
Deferred Long Term Asset Charges,1968465000.0,1841438000.0,1522431000.0,1421617000.0
Short Long Term Debt,3630337000.0,3498081000.0,408127000.0,430955000.0
Other Stockholder Equity,-228937000.0,-80712000.0,-145660000.0,-50548000.0
Property Plant Equipment,7022910000.0,6830383000.0,654594000.0,639129000.0
Total Current Assets,24612568000.0,25800121000.0,12518131000.0,15779801000.0
Long Term Investments,38534000.0,37202000.0,262157000.0,189439000.0
Net Tangible Assets,10202577000.0,11021410000.0,6101388000.0,6391707000.0
Short Term Investments,5328519000.0,5816775000.0,3021284000.0,4411377000.0
Net Receivables,7831470000.0,6569799000.0,2617584000.0,2524226000.0
Long Term Debt,9737788000.0,11444698000.0,4659221000.0,7331084000.0
Inventory,5862408000.0,4862434000.0,2012270000.0,1701658000.0
Accounts Payable,8029607000.0,6409718000.0,4126398000.0,4068103000.0
