,2021-09-30,2021-06-30,2021-03-31,2020-12-31
Investments,1217594000.0,-906270000.0,1291125000.0,-1359072000.0
Change To Liabilities,1678941000.0,764405000.0,-96325000.0,695319000.0
Total Cashflows From Investing Activities,320509000.0,4127692000.0,1124111000.0,-1597212000.0
Net Borrowings,-2211326000.0,-193043000.0,-2898656000.0,2568227000.0
Total Cash From Financing Activities,-2418573000.0,-193043000.0,-2897069000.0,2572566000.0
Change To Operating Activities,127981000.0,-6272000.0,-62064000.0,3358000.0
Net Income,240551000.0,-22821000.0,-163611000.0,15632000.0
Change In Cash,-3052639000.0,3101533000.0,-2303258000.0,1677587000.0
Repurchase Of Stock,-227616000.0,-227616000.0,-227616000.0,-227616000.0
Total Cash From Operating Activities,-954575000.0,-833116000.0,-530300000.0,702233000.0
Depreciation,435211000.0,224559000.0,157548000.0,-286517000.0
Change To Inventory,-1005835000.0,-383361000.0,-317639000.0,-147077000.0
Change To Account Receivables,-2199138000.0,-1056281000.0,48645000.0,-172750000.0
Other Cashflows From Financing Activities,20369000.0,20369000.0,20369000.0,20369000.0
Change To Netincome,4763000.0,78191000.0,35241000.0,123578000.0
Capital Expenditures,-208187000.0,-65559000.0,-18251000.0,-29704000.0
Issuance Of Stock,,,1587000.0,4339000.0
