,2021-09-30,2021-06-30,2021-03-31,2020-12-31
Intangible Assets,8205130000.0,7603171000.0,8363842000.0,7580556000.0
Capital Surplus,53662811000.0,53662811000.0,53662811000.0,53662811000.0
Total Liab,46968457000.0,44338329000.0,49787436000.0,50045455000.0
Total Stockholder Equity,86771210000.0,78889789000.0,82044123000.0,73815628000.0
Minority Interest,1393588000.0,1212017000.0,1586272000.0,1335496000.0
Other Current Liab,5283373000.0,5010893000.0,4776167000.0,5924916000.0
Total Assets,135133255000.0,124440135000.0,133417831000.0,125196579000.0
Common Stock,58006296000.0,58006296000.0,57973874000.0,57899073000.0
Other Current Assets,2146560000.0,2040069000.0,1662069000.0,1356066000.0
Retained Earnings,36506027000.0,32473006000.0,29140766000.0,25920061000.0
Other Liab,13722663000.0,13410966000.0,15478463000.0,14514036000.0
Good Will,41680332000.0,39883831000.0,42606266000.0,40023457000.0
Treasury Stock,-61403924000.0,-65252324000.0,-58733328000.0,-63666317000.0
Other Assets,19342108000.0,18038829000.0,18151579000.0,16930263000.0
Cash,17956171000.0,13269346000.0,17286068000.0,17090335000.0
Total Current Liabilities,31107336000.0,28791526000.0,31880721000.0,33477964000.0
Deferred Long Term Asset Charges,5920369000.0,4578825000.0,5926253000.0,4560808000.0
Short Long Term Debt,315520000.0,285634000.0,2049837000.0,2332767000.0
Other Stockholder Equity,-60391205000.0,-64239689000.0,-57759630000.0,-62724680000.0
Property Plant Equipment,27231875000.0,25701978000.0,26676905000.0,24768355000.0
Total Current Assets,38197082000.0,32705666000.0,37059861000.0,35342614000.0
Long Term Investments,476728000.0,506660000.0,559378000.0,551334000.0
Net Tangible Assets,36885748000.0,31402787000.0,31074015000.0,26211615000.0
Net Receivables,6538541000.0,6567271000.0,6363867000.0,7590280000.0
Long Term Debt,281766000.0,301806000.0,299392000.0,338393000.0
Inventory,9511236000.0,9583373000.0,9698229000.0,7605905000.0
Accounts Payable,19413593000.0,18818386000.0,20816270000.0,19339223000.0
