,2021-09-30,2021-06-30,2021-03-31,2020-12-31
Investments,-821441000.0,806760000.0,-351720000.0,-297047000.0
Change To Liabilities,1279155000.0,-419710000.0,-523867000.0,4124141000.0
Total Cashflows From Investing Activities,-2476667000.0,-855118000.0,-1722921000.0,-1650047000.0
Net Borrowings,-122859000.0,-1852434000.0,-553380000.0,-1834179000.0
Total Cash From Financing Activities,155020000.0,-3927880000.0,-1777751000.0,-9578963000.0
Net Income,3552532000.0,2885782000.0,2625412000.0,6786010000.0
Change In Cash,4569308000.0,-4110787000.0,195733000.0,-3891233000.0
Effect Of Exchange Rate,492797000.0,-1201273000.0,859547000.0,-1055779000.0
Total Cash From Operating Activities,6398158000.0,1873484000.0,2836858000.0,8393556000.0
Depreciation,1370540000.0,1300148000.0,2169005000.0,1116874000.0
Other Cashflows From Investing Activities,78000.0,-119000.0,5044000.0,5044000.0
Dividends Paid,-24648000.0,-231906000.0,-1241110000.0,-6669013000.0
Change To Inventory,267294000.0,-518116000.0,-1722216000.0,-548207000.0
Change To Account Receivables,-518625000.0,-1706005000.0,1464781000.0,-2987105000.0
Other Cashflows From Financing Activities,302527000.0,-1842081000.0,54697000.0,-1074517000.0
Change To Netincome,447262000.0,331385000.0,-1176257000.0,-1888054000.0
Capital Expenditures,-1699738000.0,-1639736000.0,-1327335000.0,-1394441000.0
Issuance Of Stock,,2951000.0,468000.0,468000.0
Repurchase Of Stock,,-4410000.0,-38426000.0,-1254000.0
Change To Operating Activities,,,,187366000.0
