Date,Dividends,Stock Splits
2000-10-20,0.0,0.2
2005-06-01,0.0,1.2
2007-08-02,0.0,0.05
2007-12-11,0.016302,0.0
2008-04-15,0.013585,0.0
2008-07-17,0.046348,0.0
2008-09-30,0.037558,0.0
2009-01-15,0.013245,0.0
2009-04-23,0.016382,0.0
2009-07-06,0.031165,0.0
2009-09-16,0.043951,0.0
2009-12-03,0.059134,0.0
2010-03-19,0.043951,0.0
2010-09-29,0.031585,0.0
2010-09-30,0.031585,0.0
2010-12-01,0.010189,0.0
2010-12-20,0.0,5.0
2011-03-04,0.111874,0.0
2011-07-01,0.085741,0.0
2011-10-03,0.019986,0.0
2012-03-01,0.150496,0.0
2012-06-22,0.042796,0.0
2012-10-01,0.10269,0.0
2012-12-27,0.180682,0.0
2013-02-28,0.127188,0.0
2013-09-16,0.129988,0.0
2013-11-12,0.0,5.0
2014-01-15,0.153986,0.0
2014-04-03,0.059994,0.0
2014-07-29,0.16,0.0
2014-10-28,0.22,0.0
2015-01-02,0.13,0.0
2015-01-08,0.96,0.0
2015-03-02,0.09,0.0
2015-06-02,0.1,0.0
2015-09-09,0.15,0.0
2015-12-22,0.15,0.0
2016-02-01,0.13,0.0
2016-07-12,0.13,0.0
2016-11-01,0.16,0.0
2016-12-22,0.22,0.0
2017-01-24,0.07,0.0
2017-06-26,0.16,0.0
2017-12-19,0.31,0.0
2018-02-01,0.07,0.0
2018-06-18,0.16,0.0
2018-12-19,0.32,0.0
2019-12-20,0.4906,0.0
2020-12-18,0.4137,0.0
2021-01-14,0.0767,0.0
