,2021-09-30,2021-06-30,2021-03-31,2020-12-31
Change To Liabilities,0.0,0.0,0.0,0.0
Total Cash From Financing Activities,-598209000.0,-1130464000.0,-46000.0,-873674000.0
Change To Operating Activities,2410019000.0,641694000.0,1237869000.0,14000.0
Net Income,1175863000.0,2241571000.0,1700938000.0,325878000.0
Change In Cash,1806233000.0,-492790000.0,1179155000.0,-904929000.0
Total Cash From Operating Activities,2404442000.0,637674000.0,1179201000.0,-31255000.0
Dividends Paid,-598209000.0,-1130464000.0,-46000.0,-644361000.0
Change To Netincome,-1180644000.0,-2244230000.0,-1737398000.0,-330278000.0
Net Borrowings,,,,-229313000.0
