,2021-09-30,2021-06-30,2021-03-31,2020-12-31
Intangible Assets,1002000.0,1034000.0,795000.0,819000.0
Total Liab,40669000.0,55898000.0,1202834000.0,43035000.0
Total Stockholder Equity,14546950000.0,13421728000.0,12164159000.0,11254811000.0
Other Current Liab,39571000.0,47709000.0,1194920000.0,35121000.0
Total Assets,14587619000.0,13477626000.0,13366993000.0,11297846000.0
Common Stock,5760125000.0,4100000000.0,4100000000.0,4100000000.0
Retained Earnings,4596872000.0,5681134000.0,3439563000.0,2898625000.0
Treasury Stock,4189953000.0,3640594000.0,4624596000.0,4256186000.0
Other Assets,162413000.0,168807000.0,168253000.0,189918000.0
Cash,2555161000.0,748928000.0,1241718000.0,62563000.0
Total Current Liabilities,39671000.0,47806000.0,1194992000.0,35192000.0
Other Stockholder Equity,4189953000.0,3640594000.0,4624596000.0,4256186000.0
Property Plant Equipment,62000.0,68000.0,74000.0,80000.0
Total Current Assets,2591807000.0,779423000.0,1301206000.0,415287000.0
Long Term Investments,11832335000.0,12528294000.0,11896665000.0,10691742000.0
Net Tangible Assets,14545948000.0,13420694000.0,12163364000.0,11253992000.0
Net Receivables,36528000.0,30253000.0,59110000.0,352724000.0
Other Liab,,7068000.0,7040000.0,7022000.0
