Papel,BIDI3,Cotação,10.97,,
Tipo,ON N2,Data últ cot,06/12/2021,,
Empresa,BANCO INTER ON N2,Min 52 sem,8.28,,
Setor,Intermediários Financeiros,Max 52 sem,28.22,,
Subsetor,Bancos,Vol $ méd (2m),23893600,,
Valor de mercado,28287300000,Últ balanço processado,30/09/2021,,
Valor da firma,-,Nro. Ações,2578600000,,
Oscilações,Oscilações,Indicadores fundamentalistas,Indicadores fundamentalistas,Indicadores fundamentalistas,Indicadores fundamentalistas
Dia,"0,09%",P/L,529.04,LPA,0.02
Mês,"-9,04%",P/VP,3.31,VPA,3.31
30 dias,"-27,35%",P/EBIT,-,Marg. Bruta,-
12 meses,"26,90%",PSR,-,Marg. EBIT,-
2021,"-0,27%",P/Ativos,-,Marg. Líquida,"0,0%"
2020,"125,96%",P/Cap. Giro,-,EBIT / Ativo,"0,0%"
2019,"-48,71%",P/Ativ Circ Liq,-,ROIC,-
2018,"0,00%",Div. Yield,"0,1%",ROE,"0,6%"
2017,"0,00%",EV / EBITDA,-,Liquidez Corr,-
2016,"0,00%",EV / EBIT,-,Div Br/ Patrim,-
,,Cres. Rec (5a),"46,7%",Giro Ativos,-
Dados Balanço Patrimonial,Dados Balanço Patrimonial,Dados Balanço Patrimonial,Dados Balanço Patrimonial,,
Ativo,33528400000,Depósitos,17294300000,,
Cart. de Crédito,9335290000,Patrim. Líq,8536610000,,
Dados demonstrativos de resultados,Dados demonstrativos de resultados,Dados demonstrativos de resultados,Dados demonstrativos de resultados,,
Últimos 12 meses,Últimos 12 meses,Últimos 3 meses,Últimos 3 meses,,
Result Int Financ,904598000,Result Int Financ,297461000,,
Rec Serviços,353326000,Rec Serviços,115966000,,
Lucro Líquido,53469000,Lucro Líquido,14202000,,
