,2021-03-31,2020-12-31,2020-09-30,2020-06-30
Investments,-29000000.0,-21374000.0,-21374000.0,-21374000.0
Change To Liabilities,128162000.0,161462000.0,795878000.0,115388000.0
Total Cashflows From Investing Activities,-73415000.0,-99494000.0,-131051000.0,-50025000.0
Net Borrowings,-1300665000.0,-461533000.0,-755410000.0,-265608000.0
Total Cash From Financing Activities,-1312287000.0,-809977000.0,-357785000.0,-264064000.0
Change To Operating Activities,768762000.0,-498626000.0,185213000.0,-34070000.0
Issuance Of Stock,7618000.0,83000.0,397625000.0,5547000.0
Net Income,259546000.0,114128000.0,58345000.0,253414000.0
Change In Cash,18703000.0,-949222000.0,509090000.0,515575000.0
Effect Of Exchange Rate,354167000.0,120194000.0,43332000.0,118468000.0
Total Cash From Operating Activities,1050238000.0,-159945000.0,954594000.0,711196000.0
Depreciation,80123000.0,66973000.0,79102000.0,79733000.0
Dividends Paid,-19240000.0,-138454000.0,-138454000.0,-138454000.0
Change To Inventory,-357085000.0,149941000.0,-261262000.0,-119152000.0
Change To Account Receivables,-610695000.0,12092000.0,-131150000.0,-83689000.0
Change To Netincome,831300000.0,-117137000.0,324032000.0,578073000.0
Capital Expenditures,-42540000.0,-77005000.0,-110733000.0,-47424000.0
Repurchase Of Stock,,-210073000.0,-210073000.0,-210073000.0
Other Cashflows From Financing Activities,,,,-4003000.0
