,2021-09-30,2021-06-30,2021-03-31,2020-12-31
Investments,-14424000.0,-262000.0,251905000.0,-38814000.0
Change To Liabilities,880777000.0,58095000.0,242128000.0,633508000.0
Total Cashflows From Investing Activities,-1641084000.0,-694932000.0,-352408000.0,-507918000.0
Net Borrowings,-49823000.0,467199000.0,-115847000.0,-2283793000.0
Total Cash From Financing Activities,-426155000.0,-179156000.0,-354268000.0,-2283793000.0
Change To Operating Activities,891287000.0,-680496000.0,232301000.0,337881000.0
Net Income,-282116000.0,-244142000.0,24442000.0,908824000.0
Change In Cash,-51998000.0,-1724980000.0,1090197000.0,-3821962000.0
Effect Of Exchange Rate,292448000.0,-561173000.0,296293000.0,-337504000.0
Total Cash From Operating Activities,1722793000.0,-289719000.0,1500580000.0,-692747000.0
Depreciation,642663000.0,504497000.0,768915000.0,595531000.0
Change To Inventory,-1186675000.0,-286167000.0,-1464011000.0,-870306000.0
Change To Account Receivables,-218543000.0,-295592000.0,1363883000.0,-1308252000.0
Other Cashflows From Financing Activities,-376332000.0,-646355000.0,-238421000.0,-238421000.0
Change To Netincome,763372000.0,659063000.0,419755000.0,-1015275000.0
Capital Expenditures,-782673000.0,-663807000.0,-527159000.0,-542747000.0
Other Cashflows From Investing Activities,,-17550000.0,400000.0,50000.0
