Date,Dividends,Stock Splits
2000-06-21,0.0,0.0002
2004-01-02,0.069871,0.0
2006-04-12,0.0,3.0
2008-04-23,0.06,0.0
2009-12-29,0.114995,0.0
2010-04-01,0.0,2.0
2010-06-29,0.051966,0.0
2010-12-29,0.204092,0.0
2011-06-30,0.335915,0.0
2011-12-29,0.390809,0.0
2012-06-29,0.115011,0.0
2013-01-02,0.170718,0.0
2013-04-22,0.052051,0.0
2013-07-01,0.412254,0.0
2014-01-02,0.419224,0.0
2014-07-01,0.414214,0.0
2015-01-02,0.534144,0.0
2015-07-01,0.502438,0.0
2016-01-04,0.697359,0.0
2016-03-11,0.121751,0.0
2016-07-13,0.642347,0.0
